Year,Locality,MSO,DrugUsage,count,sum_female,sum_male,FIPS Code,County Name
2010,Prince George,Abduction,Drugs Not Used,1,0,1,51149,Prince George County
2010,Prince George,Abduction,Not Reported,1,0,1,51149,Prince George County
2010,Prince William,Abduction,Drugs Not Used,3,0,3,51153,Prince William County
2010,Prince William,Abduction,Heavy Use,1,0,1,51153,Prince William County
2010,Prince William,Abduction,Not Reported,2,0,2,51153,Prince William County
2010,Prince William,Abduction,Occasional Use,1,0,1,51153,Prince William County
2010,Pulaski,Abduction,Not Reported,1,0,1,51155,Pulaski County
2010,Radford,Abduction,Not Reported,1,0,1,51750,Radford City
2010,Richmond City,Abduction,Drugs Not Used,1,0,1,51760,Richmond City
2010,Richmond City,Abduction,Not Reported,4,0,4,51760,Richmond City
2010,Richmond City,Abduction,Occasional Use,1,0,1,51760,Richmond City
2010,Roanoke City,Abduction,Heavy Use,1,0,1,51770,Roanoke City
2010,Roanoke City,Abduction,Occasional Use,1,0,1,51770,Roanoke City
2010,Roanoke County,Abduction,Heavy Use,1,0,1,51161,Roanoke County
2010,Rockingham,Abduction,Not Reported,2,1,1,51165,Rockingham County
2010,Scott,Abduction,Not Reported,1,0,1,51169,Scott County
2010,Spotsylvania,Abduction,Heavy Use,1,0,1,51177,Spotsylvania County
2010,Spotsylvania,Abduction,Not Reported,3,0,3,51177,Spotsylvania County
2010,Stafford,Abduction,Not Reported,2,0,2,51179,Stafford County
2010,Staunton,Abduction,Not Reported,1,0,1,51790,Staunton City
2010,Suffolk,Abduction,Heavy Use,1,0,1,51800,Suffolk City
2010,Suffolk,Abduction,Not Reported,1,0,1,51800,Suffolk City
2010,Suffolk,Abduction,Occasional Use,1,0,1,51800,Suffolk City
2010,Virginia Beach,Abduction,Drugs Not Used,1,0,1,51810,Virginia Beach City
2010,Virginia Beach,Abduction,Heavy Use,2,0,2,51810,Virginia Beach City
2010,Virginia Beach,Abduction,Moderate Use,1,0,1,51810,Virginia Beach City
2010,Virginia Beach,Abduction,Not Reported,2,0,2,51810,Virginia Beach City
2010,Virginia Beach,Abduction,Occasional Use,1,0,1,51810,Virginia Beach City
2010,Westmoreland,Abduction,Not Reported,1,0,1,51193,Westmoreland County
2010,Williamsburg,Abduction,Drugs Not Used,1,0,1,51830,Williamsburg City
2010,Williamsburg,Abduction,"Drugs Used, Extent Unknown",1,0,1,51830,Williamsburg City
2010,Williamsburg,Abduction,Heavy Use,1,0,1,51830,Williamsburg City
2010,Williamsburg,Abduction,Not Reported,1,0,1,51830,Williamsburg City
2010,Wythe,Abduction,Not Reported,1,0,1,51197,Wythe County
2011,Accomack,Abduction,Moderate Use,1,0,1,51001,Accomack County
2011,Albemarle,Abduction,Moderate Use,1,0,1,51003,Albemarle County
2011,Alexandria,Abduction,Heavy Use,2,0,2,51510,Alexandria City
2011,Alexandria,Abduction,Not Reported,2,0,2,51510,Alexandria City
2011,Amelia,Abduction,Not Reported,1,0,1,51007,Amelia County
2011,Amherst,Abduction,Moderate Use,1,0,1,51009,Amherst County
2011,Amherst,Abduction,Not Reported,1,0,1,51009,Amherst County
2011,Arlington,Abduction,"Drugs Used, Extent Unknown",1,0,1,51013,Arlington County
2011,Arlington,Abduction,Heavy Use,1,0,1,51013,Arlington County
2011,Arlington,Abduction,Not Reported,3,0,3,51013,Arlington County
2011,Augusta,Abduction,Not Reported,3,0,3,51015,Augusta County
2011,Bedford,Abduction,Not Reported,1,0,1,51019,Bedford County
2011,Buchanan,Abduction,Heavy Use,1,0,1,51027,Buchanan County
2011,Buchanan,Abduction,Not Reported,1,0,1,51027,Buchanan County
2011,Buckingham,Abduction,Heavy Use,1,0,1,51029,Buckingham County
2011,Campbell,Abduction,Heavy Use,2,0,2,51031,Campbell County
2011,Campbell,Abduction,Moderate Use,1,0,1,51031,Campbell County
2011,Campbell,Abduction,Not Reported,1,0,1,51031,Campbell County
2011,Campbell,Abduction,Occasional Use,1,0,1,51031,Campbell County
2011,Charlottesville,Abduction,Heavy Use,1,0,1,51540,Charlottesville City
2011,Charlottesville,Abduction,Moderate Use,1,1,0,51540,Charlottesville City
2011,Charlottesville,Abduction,Not Reported,1,0,1,51540,Charlottesville City
2011,Chesapeake,Abduction,"Drugs Used, Extent Unknown",3,0,3,51550,Chesapeake City
2011,Chesapeake,Abduction,Heavy Use,2,0,2,51550,Chesapeake City
2011,Chesapeake,Abduction,Not Reported,3,0,3,51550,Chesapeake City
2011,Chesterfield,Abduction,"Drugs Used, Extent Unknown",1,0,1,51041,Chesterfield County
2011,Chesterfield,Abduction,Not Reported,4,0,4,51041,Chesterfield County
2011,Culpeper,Abduction,Not Reported,1,0,1,51047,Culpeper County
2011,Culpeper,Abduction,Therapeutic Community,1,0,1,51047,Culpeper County
2011,Danville,Abduction,"Drugs Used, Extent Unknown",1,0,1,51590,Danville City
2011,Danville,Abduction,Heavy Use,2,0,2,51590,Danville City
2011,Danville,Abduction,Moderate Use,1,0,1,51590,Danville City
2011,Dinwiddie,Abduction,Not Reported,2,0,2,51053,Dinwiddie County
2011,Essex,Abduction,Not Reported,1,0,1,51057,Essex County
2011,Fairfax,Abduction,Heavy Use,2,0,2,51059,Fairfax County
2011,Fairfax,Abduction,Not Reported,3,0,3,51059,Fairfax County
2011,Frederick,Abduction,Heavy Use,1,0,1,51069,Frederick County
2011,Fredericksburg,Abduction,Not Reported,3,0,3,51630,Fredericksburg City
2011,Giles,Abduction,Not Reported,1,0,1,51071,Giles County
2011,Greene,Abduction,Not Reported,1,0,1,51079,Greene County
2011,Greene,Abduction,Occasional Use,1,0,1,51079,Greene County
2011,Halifax,Abduction,Not Reported,1,0,1,51083,Halifax County
2011,Hampton,Abduction,Heavy Use,1,0,1,51650,Hampton City
2011,Hampton,Abduction,Not Reported,3,0,3,51650,Hampton City
2011,Henrico,Abduction,Heavy Use,4,0,4,51087,Henrico County
2011,Henrico,Abduction,Moderate Use,1,0,1,51087,Henrico County
2011,Henrico,Abduction,Not Reported,2,1,1,51087,Henrico County
2011,Henrico,Abduction,Occasional Use,3,0,3,51087,Henrico County
2011,Henry,Abduction,Not Reported,1,0,1,51089,Henry County
2011,Henry,Abduction,Occasional Use,1,0,1,51089,Henry County
2011,Hopewell,Abduction,"Drugs Used, Extent Unknown",1,0,1,51670,Hopewell City
2011,Hopewell,Abduction,Heavy Use,1,0,1,51670,Hopewell City
2011,Hopewell,Abduction,Not Reported,2,0,2,51670,Hopewell City
2011,Isle of Wight,Abduction,Heavy Use,1,0,1,51093,Isle of Wight County
2011,Isle of Wight,Abduction,Moderate Use,1,0,1,51093,Isle of Wight County
2011,King George,Abduction,Occasional Use,1,0,1,51099,King George County
2011,Lee,Abduction,Not Reported,2,0,2,51105,Lee County
2011,Louisa,Abduction,Not Reported,2,0,2,51109,Louisa County
2011,Lynchburg,Abduction,"Drugs Used, Extent Unknown",1,0,1,51680,Lynchburg City
2011,Lynchburg,Abduction,Moderate Use,1,0,1,51680,Lynchburg City
2011,Mecklenburg,Abduction,Not Reported,3,0,3,51117,Mecklenburg County
2011,Mecklenburg,Abduction,Therapeutic Community,1,0,1,51117,Mecklenburg County
2011,Middlesex,Abduction,Not Reported,1,0,1,51119,Middlesex County
2011,Montgomery,Abduction,Not Reported,1,0,1,51121,Montgomery County
2011,New Kent,Abduction,Not Reported,1,0,1,51127,New Kent County
2011,Newport News,Abduction,"Drugs Used, Extent Unknown",1,0,1,51700,Newport News City
2011,Newport News,Abduction,Heavy Use,1,0,1,51700,Newport News City
2011,Newport News,Abduction,Not Reported,3,1,2,51700,Newport News City
2011,Norfolk,Abduction,"Drugs Used, Extent Unknown",2,0,2,51710,Norfolk City
2011,Norfolk,Abduction,Heavy Use,5,0,5,51710,Norfolk City
2011,Norfolk,Abduction,Moderate Use,2,0,2,51710,Norfolk City
2011,Norfolk,Abduction,Not Reported,7,0,7,51710,Norfolk City
2011,Norfolk,Abduction,Occasional Use,5,2,3,51710,Norfolk City
2011,Page,Abduction,Not Reported,1,0,1,51139,Page County
2011,Patrick,Abduction,"Drugs Used, Extent Unknown",1,0,1,51141,Patrick County
2011,Pittsylvania,Abduction,Not Reported,2,0,2,51143,Pittsylvania County
2011,Portsmouth,Abduction,"Drugs Used, Extent Unknown",2,0,2,51740,Portsmouth City
2011,Portsmouth,Abduction,Heavy Use,2,0,2,51740,Portsmouth City
2011,Portsmouth,Abduction,Moderate Use,1,0,1,51740,Portsmouth City
2011,Portsmouth,Abduction,Not Reported,2,1,1,51740,Portsmouth City
2011,Portsmouth,Abduction,Occasional Use,1,0,1,51740,Portsmouth City
2011,Prince George,Abduction,"Drugs Used, Extent Unknown",1,0,1,51149,Prince George County
2011,Prince William,Abduction,"Drugs Used, Extent Unknown",1,0,1,51153,Prince William County
2011,Prince William,Abduction,Heavy Use,1,0,1,51153,Prince William County
2011,Prince William,Abduction,Moderate Use,2,0,2,51153,Prince William County
2011,Prince William,Abduction,Not Reported,5,0,5,51153,Prince William County
2011,Prince William,Abduction,Occasional Use,3,0,3,51153,Prince William County
2011,Prince William,Abduction,Therapeutic Community,1,0,1,51153,Prince William County
2011,Pulaski,Abduction,Not Reported,1,0,1,51155,Pulaski County
2011,Richmond City,Abduction,"Drugs Used, Extent Unknown",2,0,2,51760,Richmond City
2011,Richmond City,Abduction,Moderate Use,1,0,1,51760,Richmond City
2011,Richmond City,Abduction,Not Reported,7,0,7,51760,Richmond City
2011,Richmond City,Abduction,Occasional Use,2,0,2,51760,Richmond City
2011,Richmond County,Abduction,Heavy Use,1,1,0,51159,Richmond County
2011,Roanoke County,Abduction,Drugs Not Used,1,0,1,51161,Roanoke County
2011,Roanoke County,Abduction,Heavy Use,1,0,1,51161,Roanoke County
2011,Roanoke County,Abduction,Not Reported,3,0,3,51161,Roanoke County
2011,Rockingham,Abduction,"Drugs Used, Extent Unknown",1,0,1,51165,Rockingham County
2011,Russell,Abduction,Heavy Use,1,0,1,51167,Russell County
2011,Russell,Abduction,Not Reported,2,0,2,51167,Russell County
2011,Scott,Abduction,Not Reported,1,0,1,51169,Scott County
2011,Smyth,Abduction,Not Reported,2,0,2,51173,Smyth County
2011,Southampton,Abduction,Not Reported,1,0,1,51175,Southampton County
2011,Southampton,Abduction,Occasional Use,1,0,1,51175,Southampton County
2011,Spotsylvania,Abduction,Not Reported,2,0,2,51177,Spotsylvania County
2011,Stafford,Abduction,"Drugs Used, Extent Unknown",1,0,1,51179,Stafford County
2011,Stafford,Abduction,Not Reported,2,0,2,51179,Stafford County
2011,Staunton,Abduction,Moderate Use,1,0,1,51790,Staunton City
2011,Staunton,Abduction,Not Reported,1,0,1,51790,Staunton City
2011,Suffolk,Abduction,Heavy Use,2,0,2,51800,Suffolk City
2011,Suffolk,Abduction,Moderate Use,2,0,2,51800,Suffolk City
2011,Tazewell,Abduction,Heavy Use,1,0,1,51185,Tazewell County
2011,Tazewell,Abduction,Not Reported,1,0,1,51185,Tazewell County
2011,Virginia Beach,Abduction,"Drugs Used, Extent Unknown",1,0,1,51810,Virginia Beach City
2011,Virginia Beach,Abduction,Heavy Use,4,0,4,51810,Virginia Beach City
2011,Virginia Beach,Abduction,Moderate Use,1,0,1,51810,Virginia Beach City
2011,Virginia Beach,Abduction,Not Reported,7,0,7,51810,Virginia Beach City
2011,Virginia Beach,Abduction,Occasional Use,1,0,1,51810,Virginia Beach City
2011,Westmoreland,Abduction,Not Reported,1,0,1,51193,Westmoreland County
2011,Williamsburg,Abduction,"Drugs Used, Extent Unknown",1,0,1,51830,Williamsburg City
2011,Williamsburg,Abduction,Heavy Use,1,0,1,51830,Williamsburg City
2011,Williamsburg,Abduction,Not Reported,2,0,2,51830,Williamsburg City
2011,York,Abduction,Therapeutic Community,1,0,1,51199,York County
2012,Accomack,Abduction,Occasional Use,2,0,2,51001,Accomack County
2012,Albemarle,Abduction,Not Reported,2,0,2,51003,Albemarle County
2012,Alexandria,Abduction,Not Reported,2,0,2,51510,Alexandria City
2012,Amelia,Abduction,Not Reported,1,0,1,51007,Amelia County
2012,Amherst,Abduction,Not Reported,1,0,1,51009,Amherst County
2012,Arlington,Abduction,"Drugs Used, Extent Unknown",2,0,2,51013,Arlington County
2012,Arlington,Abduction,Heavy Use,2,0,2,51013,Arlington County
2012,Arlington,Abduction,Not Reported,2,0,2,51013,Arlington County
2012,Augusta,Abduction,Not Reported,4,0,4,51015,Augusta County
2012,Bedford,Abduction,Heavy Use,1,0,1,51019,Bedford County
2012,Bedford,Abduction,Not Reported,1,0,1,51019,Bedford County
2012,Botetourt,Abduction,Not Reported,1,0,1,51023,Botetourt County
2012,Brunswick,Abduction,"Drugs Used, Extent Unknown",1,0,1,51025,Brunswick County
2012,Brunswick,Abduction,Heavy Use,1,0,1,51025,Brunswick County
2012,Brunswick,Abduction,Not Reported,2,0,2,51025,Brunswick County
2012,Brunswick,Abduction,Occasional Use,1,0,1,51025,Brunswick County
2012,Brunswick,Abduction,Therapeutic Community,1,0,1,51025,Brunswick County
2012,Campbell,Abduction,Not Reported,1,0,1,51031,Campbell County
2012,Charlottesville,Abduction,Moderate Use,1,0,1,51540,Charlottesville City
2012,Chesapeake,Abduction,Heavy Use,1,0,1,51550,Chesapeake City
2012,Chesapeake,Abduction,Not Reported,3,0,3,51550,Chesapeake City
2012,Chesapeake,Abduction,Occasional Use,2,0,2,51550,Chesapeake City
2012,Chesterfield,Abduction,"Drugs Used, Extent Unknown",1,0,1,51041,Chesterfield County
2012,Chesterfield,Abduction,Not Reported,4,0,4,51041,Chesterfield County
2012,Culpeper,Abduction,Not Reported,2,0,2,51047,Culpeper County
2012,Culpeper,Abduction,Therapeutic Community,1,0,1,51047,Culpeper County
2012,Danville,Abduction,Heavy Use,1,1,0,51590,Danville City
2012,Danville,Abduction,Not Reported,1,0,1,51590,Danville City
2012,Dinwiddie,Abduction,Not Reported,1,0,1,51053,Dinwiddie County
2012,Fairfax,Abduction,"Drugs Used, Extent Unknown",3,1,2,51059,Fairfax County
2012,Fairfax,Abduction,Heavy Use,1,0,1,51059,Fairfax County
2012,Fairfax,Abduction,Moderate Use,1,0,1,51059,Fairfax County
2012,Fairfax,Abduction,Not Reported,4,1,3,51059,Fairfax County
2012,Fauquier,Abduction,Moderate Use,1,0,1,51061,Fauquier County
2012,Fauquier,Abduction,Occasional Use,1,1,0,51061,Fauquier County
2012,Gloucester,Abduction,Not Reported,1,0,1,51073,Gloucester County
2012,Grayson,Abduction,Not Reported,1,0,1,51077,Grayson County
2012,Greensville,Abduction,Not Reported,1,0,1,51081,Greensville County
2012,Halifax,Abduction,Heavy Use,1,0,1,51083,Halifax County
2012,Hampton,Abduction,"Drugs Used, Extent Unknown",1,0,1,51650,Hampton City
2012,Hampton,Abduction,Not Reported,3,0,3,51650,Hampton City
2012,Hanover,Abduction,Not Reported,1,0,1,51085,Hanover County
2012,Henrico,Abduction,Heavy Use,1,0,1,51087,Henrico County
2012,Henrico,Abduction,Not Reported,2,0,2,51087,Henrico County
2012,Henrico,Abduction,Occasional Use,2,2,0,51087,Henrico County
2012,Hopewell,Abduction,Not Reported,2,0,2,51670,Hopewell City
2012,Isle of Wight,Abduction,Occasional Use,1,0,1,51093,Isle of Wight County
2012,Loudoun,Abduction,Heavy Use,1,0,1,51107,Loudoun County
2012,Louisa,Abduction,"Drugs Used, Extent Unknown",1,0,1,51109,Louisa County
2012,Louisa,Abduction,Not Reported,1,0,1,51109,Louisa County
2012,Lunenburg,Abduction,Not Reported,1,0,1,51111,Lunenburg County
2012,Lynchburg,Abduction,"Drugs Used, Extent Unknown",1,0,1,51680,Lynchburg City
2012,Lynchburg,Abduction,Not Reported,5,0,5,51680,Lynchburg City
2012,Martinsville,Abduction,Not Reported,1,0,1,51690,Martinsville City
2012,Mathews,Abduction,Not Reported,1,0,1,51115,Mathews County
2012,Mecklenburg,Abduction,Heavy Use,1,0,1,51117,Mecklenburg County
2012,Mecklenburg,Abduction,Not Reported,4,0,4,51117,Mecklenburg County
2012,Middlesex,Abduction,Moderate Use,1,0,1,51119,Middlesex County
2012,Newport News,Abduction,"Drugs Used, Extent Unknown",2,0,2,51700,Newport News City
2012,Newport News,Abduction,Heavy Use,1,0,1,51700,Newport News City
2012,Newport News,Abduction,Moderate Use,2,0,2,51700,Newport News City
2012,Newport News,Abduction,Not Reported,2,0,2,51700,Newport News City
2012,Norfolk,Abduction,Drugs Not Used,1,0,1,51710,Norfolk City
2012,Norfolk,Abduction,"Drugs Used, Extent Unknown",2,0,2,51710,Norfolk City
2012,Norfolk,Abduction,Heavy Use,2,1,1,51710,Norfolk City
2012,Norfolk,Abduction,Not Reported,5,0,5,51710,Norfolk City
2012,Norfolk,Abduction,Therapeutic Community,1,0,1,51710,Norfolk City
2012,Northampton,Abduction,"Drugs Used, Extent Unknown",1,0,1,51131,Northampton County
2012,Northampton,Abduction,Heavy Use,2,0,2,51131,Northampton County
2012,Northampton,Abduction,Moderate Use,1,0,1,51131,Northampton County
2012,Northumberland,Abduction,Heavy Use,1,0,1,51133,Northumberland County
2012,Northumberland,Abduction,Moderate Use,1,1,0,51133,Northumberland County
2012,Petersburg,Abduction,Heavy Use,1,0,1,51730,Petersburg City
2012,Pittsylvania,Abduction,Not Reported,2,0,2,51143,Pittsylvania County
2012,Pittsylvania,Abduction,Occasional Use,1,0,1,51143,Pittsylvania County
2012,Portsmouth,Abduction,Not Reported,6,0,6,51740,Portsmouth City
2012,Portsmouth,Abduction,Occasional Use,1,0,1,51740,Portsmouth City
2012,Prince Edward,Abduction,Heavy Use,1,0,1,51147,Prince Edward County
2012,Prince Edward,Abduction,Not Reported,1,0,1,51147,Prince Edward County
2012,Prince George,Abduction,Not Reported,1,0,1,51149,Prince George County
2012,Prince William,Abduction,Moderate Use,1,0,1,51153,Prince William County
2012,Prince William,Abduction,Not Reported,3,0,3,51153,Prince William County
2012,Pulaski,Abduction,Not Reported,4,0,4,51155,Pulaski County
2012,Richmond City,Abduction,Heavy Use,1,0,1,51760,Richmond City
2012,Richmond City,Abduction,Moderate Use,2,0,2,51760,Richmond City
2012,Richmond City,Abduction,Not Reported,6,0,6,51760,Richmond City
2012,Richmond City,Abduction,Occasional Use,1,0,1,51760,Richmond City
2012,Roanoke City,Abduction,Heavy Use,1,0,1,51770,Roanoke City
2012,Roanoke City,Abduction,Not Reported,1,0,1,51770,Roanoke City
2012,Roanoke City,Abduction,Occasional Use,1,0,1,51770,Roanoke City
2012,Roanoke County,Abduction,Drugs Not Used,1,0,1,51161,Roanoke County
2012,Roanoke County,Abduction,"Drugs Used, Extent Unknown",1,0,1,51161,Roanoke County
2012,Roanoke County,Abduction,Not Reported,2,0,2,51161,Roanoke County
2012,Rockingham,Abduction,"Drugs Used, Extent Unknown",1,0,1,51165,Rockingham County
2012,Rockingham,Abduction,Not Reported,5,1,4,51165,Rockingham County
2012,Russell,Abduction,Heavy Use,1,0,1,51167,Russell County
2012,Salem,Abduction,Heavy Use,1,0,1,51775,Salem City
2012,Smyth,Abduction,Heavy Use,1,0,1,51173,Smyth County
2012,Smyth,Abduction,Not Reported,4,1,3,51173,Smyth County
2012,Stafford,Abduction,Heavy Use,1,0,1,51179,Stafford County
2012,Stafford,Abduction,Moderate Use,1,0,1,51179,Stafford County
2012,Stafford,Abduction,Not Reported,2,0,2,51179,Stafford County
2012,Staunton,Abduction,Moderate Use,1,0,1,51790,Staunton City
2012,Suffolk,Abduction,"Drugs Used, Extent Unknown",1,0,1,51800,Suffolk City
2012,Suffolk,Abduction,Moderate Use,1,0,1,51800,Suffolk City
2012,Tazewell,Abduction,Heavy Use,1,0,1,51185,Tazewell County
2012,Virginia Beach,Abduction,Heavy Use,2,0,2,51810,Virginia Beach City
2012,Virginia Beach,Abduction,Moderate Use,2,0,2,51810,Virginia Beach City
2012,Virginia Beach,Abduction,Not Reported,3,0,3,51810,Virginia Beach City
2012,Virginia Beach,Abduction,Occasional Use,1,0,1,51810,Virginia Beach City
2012,Warren,Abduction,Not Reported,1,0,1,51187,Warren County
2012,Waynesboro,Abduction,Heavy Use,1,0,1,51820,Waynesboro City
2012,Waynesboro,Abduction,Not Reported,1,0,1,51820,Waynesboro City
2012,Westmoreland,Abduction,"Drugs Used, Extent Unknown",1,0,1,51193,Westmoreland County
2012,Westmoreland,Abduction,Not Reported,1,0,1,51193,Westmoreland County
2012,Williamsburg,Abduction,Heavy Use,1,0,1,51830,Williamsburg City
2012,Williamsburg,Abduction,Not Reported,3,0,3,51830,Williamsburg City
2012,Wythe,Abduction,Not Reported,2,0,2,51197,Wythe County
2013,Accomack,Abduction,Not Reported,1,0,1,51001,Accomack County
2013,Albemarle,Abduction,Heavy Use,2,0,2,51003,Albemarle County
2013,Albemarle,Abduction,Moderate Use,1,0,1,51003,Albemarle County
2013,Albemarle,Abduction,Not Reported,1,0,1,51003,Albemarle County
2013,Alexandria,Abduction,Heavy Use,1,0,1,51510,Alexandria City
2013,Alexandria,Abduction,Not Reported,1,0,1,51510,Alexandria City
2013,Appomattox,Abduction,Not Reported,1,0,1,51011,Appomattox County
2013,Arlington,Abduction,Heavy Use,1,0,1,51013,Arlington County
2013,Arlington,Abduction,Not Reported,2,0,2,51013,Arlington County
2013,Augusta,Abduction,Not Reported,1,0,1,51015,Augusta County
2013,Augusta,Abduction,Occasional Use,1,0,1,51015,Augusta County
2013,Bristol,Abduction,Not Reported,2,0,2,51520,Bristol City
2013,Buchanan,Abduction,Not Reported,1,0,1,51027,Buchanan County
2013,Buchanan,Abduction,Occasional Use,1,0,1,51027,Buchanan County
2013,Buckingham,Abduction,Occasional Use,1,0,1,51029,Buckingham County
2013,Campbell,Abduction,Moderate Use,1,0,1,51031,Campbell County
2013,Campbell,Abduction,Therapeutic Community,1,0,1,51031,Campbell County
2013,Caroline,Abduction,Not Reported,3,0,3,51033,Caroline County
2013,Charles City,Abduction,Not Reported,1,0,1,51036,Charles City County
2013,Charlotte,Abduction,Not Reported,1,0,1,51037,Charlotte County
2013,Charlottesville,Abduction,"Drugs Used, Extent Unknown",1,0,1,51540,Charlottesville City
2013,Charlottesville,Abduction,Heavy Use,1,0,1,51540,Charlottesville City
2013,Charlottesville,Abduction,Moderate Use,1,1,0,51540,Charlottesville City
2013,Chesapeake,Abduction,Heavy Use,4,0,4,51550,Chesapeake City
2013,Chesapeake,Abduction,Not Reported,6,0,6,51550,Chesapeake City
2013,Chesapeake,Abduction,Occasional Use,1,0,1,51550,Chesapeake City
2013,Chesterfield,Abduction,Heavy Use,2,0,2,51041,Chesterfield County
2013,Chesterfield,Abduction,Not Reported,2,0,2,51041,Chesterfield County
2013,Colonial Heights,Abduction,"Drugs Used, Extent Unknown",1,0,1,51570,Colonial Heights City
2013,Colonial Heights,Abduction,Not Reported,2,0,2,51570,Colonial Heights City
2013,Danville,Abduction,Not Reported,2,0,2,51590,Danville City
2013,Dickenson,Abduction,Not Reported,1,0,1,51051,Dickenson County
2013,Dinwiddie,Abduction,Not Reported,1,0,1,51053,Dinwiddie County
2013,Fairfax,Abduction,"Drugs Used, Extent Unknown",4,0,4,51059,Fairfax County
2013,Fairfax,Abduction,Heavy Use,2,0,2,51059,Fairfax County
2013,Fairfax,Abduction,Moderate Use,1,0,1,51059,Fairfax County
2013,Fairfax,Abduction,Not Reported,4,0,4,51059,Fairfax County
