Year,FIPS Code,Locality,Source,Type,Case Count Display,Rate,VDH Health District,VDH Health District Case Count Display,VDH Health District Case Rate,VDH Health Region,VDH Health Region Case Count Display,VDH Health Region Case Rate,Virginia Hospital & Healthcare Preparedness Region,Virginia Hospital & Healthcare Preparedness Region Case Count Display,Virginia Hospital & Healthcare Preparedness Region Case Rate,Virginia Department of Emergency Management Region,Virginia Department of Emergency Management Region Case Count Display,Virginia Department of Emergency Management Region Case Rate,Community Service Board,Community Service Board Case Count Display,Community Service Board Case Rate,Virginia State Police Division,Virginia State Police Division Case Count Display,Virginia State Police Division Case Rate,Virginia State,Virginia State Case Count Display,Virginia State Case Rate
2011,51027,Buchanan,ED,ED Heroin Overdose,N/A,N/A,Cumberland Plateau,N/A,N/A,Southwest,N/A,N/A,Far Southwest,N/A,N/A,Southwest,N/A,N/A,Cumberland Mountain Community Services,N/A,N/A,VSP Division 4,N/A,N/A,Virginia State,N/A,N/A
2011,51029,Buckingham,ED,ED Heroin Overdose,N/A,N/A,Piedmont,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Central Virginia,N/A,N/A,Crossroads Community Services Board,N/A,N/A,VSP Division 3,N/A,N/A,Virginia State,N/A,N/A
2011,51031,Campbell,ED,ED Heroin Overdose,N/A,N/A,Central Virginia,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Central Virginia,N/A,N/A,Horizon Behavioral Health ,N/A,N/A,VSP Division 3,N/A,N/A,Virginia State,N/A,N/A
2011,51033,Caroline,ED,ED Heroin Overdose,N/A,N/A,Rappahannock,N/A,N/A,Northwest,N/A,N/A,Northern,N/A,N/A,Culpeper,N/A,N/A,Rappahannock Area Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51035,Carroll,ED,ED Heroin Overdose,N/A,N/A,Mount Rogers,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Southwest,N/A,N/A,Mount Rogers Community Services Board,N/A,N/A,VSP Division 4,N/A,N/A,Virginia State,N/A,N/A
2011,51036,Charles City,ED,ED Heroin Overdose,N/A,N/A,Chickahominy,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Richmond,N/A,N/A,Henrico Area Mental Health and Developmental Services,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51037,Charlotte,ED,ED Heroin Overdose,N/A,N/A,Piedmont,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Central Virginia,N/A,N/A,Crossroads Community Services Board,N/A,N/A,VSP Division 3,N/A,N/A,Virginia State,N/A,N/A
2011,51041,Chesterfield,ED,ED Heroin Overdose,N/A,N/A,Chesterfield,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Richmond,N/A,N/A,Chesterfield Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51043,Clarke,ED,ED Heroin Overdose,N/A,N/A,Lord Fairfax,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Culpeper,N/A,N/A,Northwestern Community Services,N/A,N/A,VSP Division 2,N/A,N/A,Virginia State,N/A,N/A
2011,51045,Craig,ED,ED Heroin Overdose,N/A,N/A,Alleghany,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Roanoke Area,N/A,N/A,Blue Ridge Behavioral Healthcare,N/A,N/A,VSP Division 6,N/A,N/A,Virginia State,N/A,N/A
2011,51047,Culpeper,ED,ED Heroin Overdose,N/A,N/A,Rappahannock Rapidan,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Culpeper,N/A,N/A,Rappahannock-Rapidan Community Services Board,N/A,N/A,VSP Division 2,N/A,N/A,Virginia State,N/A,N/A
2011,51049,Cumberland,ED,ED Heroin Overdose,N/A,N/A,Piedmont,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Central Virginia,N/A,N/A,Crossroads Community Services Board,N/A,N/A,VSP Division 3,N/A,N/A,Virginia State,N/A,N/A
2011,51051,Dickenson,ED,ED Heroin Overdose,N/A,N/A,Cumberland Plateau,N/A,N/A,Southwest,N/A,N/A,Far Southwest,N/A,N/A,Southwest,N/A,N/A,Dickenson County Behavioral Health Services,N/A,N/A,VSP Division 4,N/A,N/A,Virginia State,N/A,N/A
2011,51053,Dinwiddie,ED,ED Heroin Overdose,N/A,N/A,Crater,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Richmond,N/A,N/A,District 19 Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51057,Essex,ED,ED Heroin Overdose,N/A,N/A,Three Rivers,N/A,N/A,Eastern,N/A,N/A,Eastern,N/A,N/A,Richmond,N/A,N/A,Middle Peninsula-Northern Neck Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51059,Fairfax,ED,ED Heroin Overdose,N/A,N/A,Fairfax,N/A,N/A,Northern,N/A,N/A,Northern,N/A,N/A,Northern Virginia,N/A,N/A,Fairfax- Falls Church Community Services Board,N/A,N/A,VSP Division 7,N/A,N/A,Virginia State,N/A,N/A
2011,51061,Fauquier,ED,ED Heroin Overdose,N/A,N/A,Rappahannock Rapidan,N/A,N/A,Northwest,N/A,N/A,Northern,N/A,N/A,Culpeper,N/A,N/A,Rappahannock-Rapidan Community Services Board,N/A,N/A,VSP Division 2,N/A,N/A,Virginia State,N/A,N/A
2011,51063,Floyd,ED,ED Heroin Overdose,N/A,N/A,New River,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Roanoke Area,N/A,N/A,New River Valley Community Services,N/A,N/A,VSP Division 6,N/A,N/A,Virginia State,N/A,N/A
2011,51065,Fluvanna,ED,ED Heroin Overdose,N/A,N/A,Thomas Jefferson,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Central Virginia,N/A,N/A,Region Ten Community Services Board,N/A,N/A,VSP Division 3,N/A,N/A,Virginia State,N/A,N/A
2011,51067,Franklin County,ED,ED Heroin Overdose,N/A,N/A,West Piedmont,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Roanoke Area,N/A,N/A,Piedmont Community Services,N/A,N/A,VSP Division 6,N/A,N/A,Virginia State,N/A,N/A
2011,51069,Frederick,ED,ED Heroin Overdose,N/A,N/A,Lord Fairfax,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Culpeper,N/A,N/A,Northwestern Community Services,N/A,N/A,VSP Division 2,N/A,N/A,Virginia State,N/A,N/A
2011,51071,Giles,ED,ED Heroin Overdose,N/A,N/A,New River,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Southwest,N/A,N/A,New River Valley Community Services,N/A,N/A,VSP Division 4,N/A,N/A,Virginia State,N/A,N/A
2011,51073,Gloucester,ED,ED Heroin Overdose,N/A,N/A,Three Rivers,N/A,N/A,Eastern,N/A,N/A,Eastern,N/A,N/A,Tidewater,N/A,N/A,Middle Peninsula-Northern Neck Community Services Board,N/A,N/A,VSP Division 5,N/A,N/A,Virginia State,N/A,N/A
2011,51075,Goochland,ED,ED Heroin Overdose,N/A,N/A,Chickahominy,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Richmond,N/A,N/A,Goochland-Powhatan Community Services,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51077,Grayson,ED,ED Heroin Overdose,N/A,N/A,Mount Rogers,N/A,N/A,Southwest,N/A,N/A,Far Southwest,N/A,N/A,Southwest,N/A,N/A,Mount Rogers Community Services Board,N/A,N/A,VSP Division 4,N/A,N/A,Virginia State,N/A,N/A
2011,51079,Greene,ED,ED Heroin Overdose,N/A,N/A,Thomas Jefferson,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Culpeper,N/A,N/A,Region Ten Community Services Board,N/A,N/A,VSP Division 3,N/A,N/A,Virginia State,N/A,N/A
2011,51081,Greensville,ED,ED Heroin Overdose,N/A,N/A,Crater,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Richmond,N/A,N/A,District 19 Community Services Board,N/A,N/A,VSP Division 5,N/A,N/A,Virginia State,N/A,N/A
2011,51083,Halifax,ED,ED Heroin Overdose,N/A,N/A,Southside,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Central Virginia,N/A,N/A,Southside Community Services Board,N/A,N/A,VSP Division 3,N/A,N/A,Virginia State,N/A,N/A
2011,51085,Hanover,ED,ED Heroin Overdose,N/A,N/A,Chickahominy,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Richmond,N/A,N/A,Hanover County Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51087,Henrico,ED,ED Heroin Overdose,N/A,N/A,Henrico,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Richmond,N/A,N/A,Henrico Area Mental Health and Developmental Services,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51089,Henry,ED,ED Heroin Overdose,N/A,N/A,West Piedmont,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Roanoke Area,N/A,N/A,Piedmont Community Services,N/A,N/A,VSP Division 6,N/A,N/A,Virginia State,N/A,N/A
2011,51091,Highland,ED,ED Heroin Overdose,N/A,N/A,Central Shenandoah,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Roanoke Area,N/A,N/A,Valley Community Services Board,N/A,N/A,VSP Division 6,N/A,N/A,Virginia State,N/A,N/A
2011,51093,Isle of Wight,ED,ED Heroin Overdose,N/A,N/A,Western Tidewater,N/A,N/A,Eastern,N/A,N/A,Eastern,N/A,N/A,Tidewater,N/A,N/A,Western Tidewater Community Services Board,N/A,N/A,VSP Division 5,N/A,N/A,Virginia State,N/A,N/A
2011,51095,James City,ED,ED Heroin Overdose,N/A,N/A,Peninsula,N/A,N/A,Eastern,N/A,N/A,Eastern,N/A,N/A,Tidewater,N/A,N/A,Colonial Behavioral Health,N/A,N/A,VSP Division 5,N/A,N/A,Virginia State,N/A,N/A
2011,51097,King and Queen,ED,ED Heroin Overdose,N/A,N/A,Three Rivers,N/A,N/A,Eastern,N/A,N/A,Eastern,N/A,N/A,Richmond,N/A,N/A,Middle Peninsula-Northern Neck Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51099,King George,ED,ED Heroin Overdose,N/A,N/A,Rappahannock,N/A,N/A,Northwest,N/A,N/A,Northern,N/A,N/A,Culpeper,N/A,N/A,Rappahannock Area Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51101,King William,ED,ED Heroin Overdose,N/A,N/A,Three Rivers,N/A,N/A,Eastern,N/A,N/A,Eastern,N/A,N/A,Richmond,N/A,N/A,Middle Peninsula-Northern Neck Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51103,Lancaster,ED,ED Heroin Overdose,N/A,N/A,Three Rivers,N/A,N/A,Eastern,N/A,N/A,Eastern,N/A,N/A,Tidewater,N/A,N/A,Middle Peninsula-Northern Neck Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51105,Lee,ED,ED Heroin Overdose,N/A,N/A,Lenowisco,N/A,N/A,Southwest,N/A,N/A,Far Southwest,N/A,N/A,Southwest,N/A,N/A,Planning District One Behavioral Health Services,N/A,N/A,VSP Division 4,N/A,N/A,Virginia State,N/A,N/A
2011,51107,Loudoun,ED,ED Heroin Overdose,N/A,N/A,Loudoun,N/A,N/A,Northern,N/A,N/A,Northern,N/A,N/A,Northern Virginia,N/A,N/A,"Loudoun County MH, SA and Developmental Services",N/A,N/A,VSP Division 7,N/A,N/A,Virginia State,N/A,N/A
2011,51109,Louisa,ED,ED Heroin Overdose,N/A,N/A,Thomas Jefferson,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Culpeper,N/A,N/A,Region Ten Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51111,Lunenburg,ED,ED Heroin Overdose,N/A,N/A,Piedmont,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Central Virginia,N/A,N/A,Crossroads Community Services Board,N/A,N/A,VSP Division 3,N/A,N/A,Virginia State,N/A,N/A
2011,51113,Madison,ED,ED Heroin Overdose,N/A,N/A,Rappahannock Rapidan,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Culpeper,N/A,N/A,Rappahannock-Rapidan Community Services Board,N/A,N/A,VSP Division 2,N/A,N/A,Virginia State,N/A,N/A
2011,51115,Mathews,ED,ED Heroin Overdose,N/A,N/A,Three Rivers,N/A,N/A,Eastern,N/A,N/A,Eastern,N/A,N/A,Tidewater,N/A,N/A,Middle Peninsula-Northern Neck Community Services Board,N/A,N/A,VSP Division 5,N/A,N/A,Virginia State,N/A,N/A
2011,51117,Mecklenburg,ED,ED Heroin Overdose,N/A,N/A,Southside,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Central Virginia,N/A,N/A,Southside Community Services Board,N/A,N/A,VSP Division 3,N/A,N/A,Virginia State,N/A,N/A
2011,51119,Middlesex,ED,ED Heroin Overdose,N/A,N/A,Three Rivers,N/A,N/A,Eastern,N/A,N/A,Eastern,N/A,N/A,Tidewater,N/A,N/A,Middle Peninsula-Northern Neck Community Services Board,N/A,N/A,VSP Division 5,N/A,N/A,Virginia State,N/A,N/A
2011,51121,Montgomery,ED,ED Heroin Overdose,N/A,N/A,New River,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Roanoke Area,N/A,N/A,New River Valley Community Services,N/A,N/A,VSP Division 6,N/A,N/A,Virginia State,N/A,N/A
2011,51125,Nelson,ED,ED Heroin Overdose,N/A,N/A,Thomas Jefferson,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Central Virginia,N/A,N/A,Region Ten Community Services Board,N/A,N/A,VSP Division 3,N/A,N/A,Virginia State,N/A,N/A
2011,51127,New Kent,ED,ED Heroin Overdose,N/A,N/A,Chickahominy,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Richmond,N/A,N/A,Henrico Area Mental Health and Developmental Services,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51131,Northampton,ED,ED Heroin Overdose,N/A,N/A,Eastern Shore,N/A,N/A,Eastern,N/A,N/A,Eastern,N/A,N/A,Tidewater,N/A,N/A,Eastern Shore Community Services Board,N/A,N/A,VSP Division 5,N/A,N/A,Virginia State,N/A,N/A
2011,51133,Northumberland,ED,ED Heroin Overdose,N/A,N/A,Three Rivers,N/A,N/A,Eastern,N/A,N/A,Eastern,N/A,N/A,Tidewater,N/A,N/A,Middle Peninsula-Northern Neck Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51135,Nottoway,ED,ED Heroin Overdose,N/A,N/A,Piedmont,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Richmond,N/A,N/A,Crossroads Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51137,Orange,ED,ED Heroin Overdose,N/A,N/A,Rappahannock Rapidan,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Culpeper,N/A,N/A,Rappahannock-Rapidan Community Services Board,N/A,N/A,VSP Division 2,N/A,N/A,Virginia State,N/A,N/A
2011,51139,Page,ED,ED Heroin Overdose,N/A,N/A,Lord Fairfax,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Culpeper,N/A,N/A,Northwestern Community Services,N/A,N/A,VSP Division 2,N/A,N/A,Virginia State,N/A,N/A
2011,51141,Patrick,ED,ED Heroin Overdose,N/A,N/A,West Piedmont,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Roanoke Area,N/A,N/A,Piedmont Community Services,N/A,N/A,VSP Division 6,N/A,N/A,Virginia State,N/A,N/A
2011,51143,Pittsylvania,ED,ED Heroin Overdose,N/A,N/A,Pittsylvania-Danville,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Roanoke Area,N/A,N/A,Danville-Pittsylvania Community Services,N/A,N/A,VSP Division 6,N/A,N/A,Virginia State,N/A,N/A
2011,51145,Powhatan,ED,ED Heroin Overdose,N/A,N/A,Chesterfield,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Richmond,N/A,N/A,Goochland-Powhatan Community Services,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51147,Prince Edward,ED,ED Heroin Overdose,N/A,N/A,Piedmont,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Central Virginia,N/A,N/A,Crossroads Community Services Board,N/A,N/A,VSP Division 3,N/A,N/A,Virginia State,N/A,N/A
2011,51149,Prince George,ED,ED Heroin Overdose,N/A,N/A,Crater,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Richmond,N/A,N/A,District 19 Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51153,Prince William,ED,ED Heroin Overdose,N/A,N/A,Prince William,N/A,N/A,Northern,N/A,N/A,Northern,N/A,N/A,Northern Virginia,N/A,N/A,Prince William County Community Services Board,N/A,N/A,VSP Division 7,N/A,N/A,Virginia State,N/A,N/A
2011,51155,Pulaski,ED,ED Heroin Overdose,N/A,N/A,New River,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Southwest,N/A,N/A,New River Valley Community Services,N/A,N/A,VSP Division 4,N/A,N/A,Virginia State,N/A,N/A
2011,51157,Rappahannock,ED,ED Heroin Overdose,N/A,N/A,Rappahannock Rapidan,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Culpeper,N/A,N/A,Rappahannock-Rapidan Community Services Board,N/A,N/A,VSP Division 2,N/A,N/A,Virginia State,N/A,N/A
2011,51159,Richmond County,ED,ED Heroin Overdose,N/A,N/A,Three Rivers,N/A,N/A,Eastern,N/A,N/A,Eastern,N/A,N/A,Richmond,N/A,N/A,Middle Peninsula-Northern Neck Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51161,Roanoke County,ED,ED Heroin Overdose,N/A,N/A,Alleghany,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Roanoke Area,N/A,N/A,Blue Ridge Behavioral Healthcare,N/A,N/A,VSP Division 6,N/A,N/A,Virginia State,N/A,N/A
2011,51163,Rockbridge,ED,ED Heroin Overdose,N/A,N/A,Central Shenandoah,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Roanoke Area,N/A,N/A,Rockbridge Area Community Services,N/A,N/A,VSP Division 6,N/A,N/A,Virginia State,N/A,N/A
2011,51165,Rockingham,ED,ED Heroin Overdose,N/A,N/A,Central Shenandoah,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Central Virginia,N/A,N/A,Harrisonburg-Rockingham Community Services Board,N/A,N/A,VSP Division 2,N/A,N/A,Virginia State,N/A,N/A
2011,51167,Russell,ED,ED Heroin Overdose,N/A,N/A,Cumberland Plateau,N/A,N/A,Southwest,N/A,N/A,Far Southwest,N/A,N/A,Southwest,N/A,N/A,Cumberland Mountain Community Services,N/A,N/A,VSP Division 4,N/A,N/A,Virginia State,N/A,N/A
2011,51169,Scott,ED,ED Heroin Overdose,N/A,N/A,Lenowisco,N/A,N/A,Southwest,N/A,N/A,Far Southwest,N/A,N/A,Southwest,N/A,N/A,Planning District One Behavioral Health Services,N/A,N/A,VSP Division 4,N/A,N/A,Virginia State,N/A,N/A
2011,51171,Shenandoah,ED,ED Heroin Overdose,N/A,N/A,Lord Fairfax,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Culpeper,N/A,N/A,Northwestern Community Services,N/A,N/A,VSP Division 2,N/A,N/A,Virginia State,N/A,N/A
2011,51173,Smyth,ED,ED Heroin Overdose,N/A,N/A,Mount Rogers,N/A,N/A,Southwest,N/A,N/A,Far Southwest,N/A,N/A,Southwest,N/A,N/A,Mount Rogers Community Services Board,N/A,N/A,VSP Division 4,N/A,N/A,Virginia State,N/A,N/A
2011,51175,Southampton,ED,ED Heroin Overdose,N/A,N/A,Western Tidewater,N/A,N/A,Eastern,N/A,N/A,Eastern,N/A,N/A,Tidewater,N/A,N/A,Western Tidewater Community Services Board,N/A,N/A,VSP Division 5,N/A,N/A,Virginia State,N/A,N/A
2011,51177,Spotsylvania,ED,ED Heroin Overdose,N/A,N/A,Rappahannock,N/A,N/A,Northwest,N/A,N/A,Northern,N/A,N/A,Culpeper,N/A,N/A,Rappahannock Area Community Services Board,N/A,N/A,VSP Division 2,N/A,N/A,Virginia State,N/A,N/A
2011,51179,Stafford,ED,ED Heroin Overdose,N/A,N/A,Rappahannock,N/A,N/A,Northwest,N/A,N/A,Northern,N/A,N/A,Northern Virginia,N/A,N/A,Rappahannock Area Community Services Board,N/A,N/A,VSP Division 2,N/A,N/A,Virginia State,N/A,N/A
2011,51181,Surry,ED,ED Heroin Overdose,N/A,N/A,Crater,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Tidewater,N/A,N/A,District 19 Community Services Board,N/A,N/A,VSP Division 5,N/A,N/A,Virginia State,N/A,N/A
2011,51183,Sussex,ED,ED Heroin Overdose,N/A,N/A,Crater,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Richmond,N/A,N/A,District 19 Community Services Board,N/A,N/A,VSP Division 5,N/A,N/A,Virginia State,N/A,N/A
2011,51185,Tazewell,ED,ED Heroin Overdose,N/A,N/A,Cumberland Plateau,N/A,N/A,Southwest,N/A,N/A,Far Southwest,N/A,N/A,Southwest,N/A,N/A,Cumberland Mountain Community Services,N/A,N/A,VSP Division 4,N/A,N/A,Virginia State,N/A,N/A
2011,51187,Warren,ED,ED Heroin Overdose,N/A,N/A,Lord Fairfax,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Culpeper,N/A,N/A,Northwestern Community Services,N/A,N/A,VSP Division 2,N/A,N/A,Virginia State,N/A,N/A
2011,51191,Washington,ED,ED Heroin Overdose,N/A,N/A,Mount Rogers,N/A,N/A,Southwest,N/A,N/A,Far Southwest,N/A,N/A,Southwest,N/A,N/A,Highlands Community Services,N/A,N/A,VSP Division 4,N/A,N/A,Virginia State,N/A,N/A
2011,51193,Westmoreland,ED,ED Heroin Overdose,N/A,N/A,Three Rivers,N/A,N/A,Eastern,N/A,N/A,Eastern,N/A,N/A,Tidewater,N/A,N/A,Middle Peninsula-Northern Neck Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51195,Wise,ED,ED Heroin Overdose,N/A,N/A,Lenowisco,N/A,N/A,Southwest,N/A,N/A,Far Southwest,N/A,N/A,Southwest,N/A,N/A,Planning District One Behavioral Health Services,N/A,N/A,VSP Division 4,N/A,N/A,Virginia State,N/A,N/A
2011,51197,Wythe,ED,ED Heroin Overdose,N/A,N/A,Mount Rogers,N/A,N/A,Southwest,N/A,N/A,Far Southwest,N/A,N/A,Southwest,N/A,N/A,Mount Rogers Community Services Board,N/A,N/A,VSP Division 4,N/A,N/A,Virginia State,N/A,N/A
