EST_HC5_VC4,"Estimate; Not Hispanic or Latino, one race - Black or African American alone; No earnings  - Total, both sexes - Percent"
EST_HC6_VC4,"Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; No earnings  - Total, both sexes - Percent"
EST_HC7_VC4,"Estimate; Not Hispanic or Latino, one race - Asian alone; No earnings  - Total, both sexes - Percent"
EST_HC8_VC4,"Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; No earnings  - Total, both sexes - Percent"
EST_HC9_VC4,"Estimate; Not Hispanic or Latino, two or more races - White and Black; No earnings  - Total, both sexes - Percent"
EST_HC10_VC4,"Estimate; Not Hispanic or Latino, two or more races - White and AIAN; No earnings  - Total, both sexes - Percent"
EST_HC11_VC4,"Estimate; Not Hispanic or Latino, two or more races - White and Asian; No earnings  - Total, both sexes - Percent"
EST_HC12_VC4,"Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; No earnings  - Total, both sexes - Percent"
EST_HC13_VC4,"Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); No earnings  - Total, both sexes - Percent"
EST_HC14_VC4,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); No earnings  - Total, both sexes - Percent"
EST_HC15_VC4,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); No earnings  - Total, both sexes - Percent"
EST_HC16_VC4,"Estimate; Balance of not Hispanic or Latino; No earnings  - Total, both sexes - Percent"
EST_HC1_VC6,"Estimate; Total, race and ethnicity; No earnings  - Male - Number"
EST_HC2_VC6,Estimate; Hispanic or Latino - White alone Hispanic or Latino; No earnings  - Male - Number
EST_HC3_VC6,Estimate; Hispanic or Latino - All other Hispanic or Latino; No earnings  - Male - Number
EST_HC4_VC6,"Estimate; Not Hispanic or Latino, one race - White alone; No earnings  - Male - Number"
EST_HC5_VC6,"Estimate; Not Hispanic or Latino, one race - Black or African American alone; No earnings  - Male - Number"
EST_HC6_VC6,"Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; No earnings  - Male - Number"
EST_HC7_VC6,"Estimate; Not Hispanic or Latino, one race - Asian alone; No earnings  - Male - Number"
EST_HC8_VC6,"Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; No earnings  - Male - Number"
EST_HC9_VC6,"Estimate; Not Hispanic or Latino, two or more races - White and Black; No earnings  - Male - Number"
EST_HC10_VC6,"Estimate; Not Hispanic or Latino, two or more races - White and AIAN; No earnings  - Male - Number"
EST_HC11_VC6,"Estimate; Not Hispanic or Latino, two or more races - White and Asian; No earnings  - Male - Number"
EST_HC12_VC6,"Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; No earnings  - Male - Number"
EST_HC13_VC6,"Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); No earnings  - Male - Number"
EST_HC14_VC6,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); No earnings  - Male - Number"
EST_HC15_VC6,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); No earnings  - Male - Number"
EST_HC16_VC6,Estimate; Balance of not Hispanic or Latino; No earnings  - Male - Number
EST_HC1_VC7,"Estimate; Total, race and ethnicity; No earnings  - Male - Percent"
EST_HC2_VC7,Estimate; Hispanic or Latino - White alone Hispanic or Latino; No earnings  - Male - Percent
EST_HC3_VC7,Estimate; Hispanic or Latino - All other Hispanic or Latino; No earnings  - Male - Percent
EST_HC4_VC7,"Estimate; Not Hispanic or Latino, one race - White alone; No earnings  - Male - Percent"
EST_HC5_VC7,"Estimate; Not Hispanic or Latino, one race - Black or African American alone; No earnings  - Male - Percent"
EST_HC6_VC7,"Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; No earnings  - Male - Percent"
EST_HC7_VC7,"Estimate; Not Hispanic or Latino, one race - Asian alone; No earnings  - Male - Percent"
EST_HC8_VC7,"Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; No earnings  - Male - Percent"
EST_HC9_VC7,"Estimate; Not Hispanic or Latino, two or more races - White and Black; No earnings  - Male - Percent"
EST_HC10_VC7,"Estimate; Not Hispanic or Latino, two or more races - White and AIAN; No earnings  - Male - Percent"
EST_HC11_VC7,"Estimate; Not Hispanic or Latino, two or more races - White and Asian; No earnings  - Male - Percent"
EST_HC12_VC7,"Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; No earnings  - Male - Percent"
EST_HC13_VC7,"Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); No earnings  - Male - Percent"
EST_HC14_VC7,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); No earnings  - Male - Percent"
EST_HC15_VC7,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); No earnings  - Male - Percent"
EST_HC16_VC7,Estimate; Balance of not Hispanic or Latino; No earnings  - Male - Percent
EST_HC1_VC9,"Estimate; Total, race and ethnicity; No earnings  - Female - Number"
EST_HC2_VC9,Estimate; Hispanic or Latino - White alone Hispanic or Latino; No earnings  - Female - Number
EST_HC3_VC9,Estimate; Hispanic or Latino - All other Hispanic or Latino; No earnings  - Female - Number
EST_HC4_VC9,"Estimate; Not Hispanic or Latino, one race - White alone; No earnings  - Female - Number"
EST_HC5_VC9,"Estimate; Not Hispanic or Latino, one race - Black or African American alone; No earnings  - Female - Number"
EST_HC6_VC9,"Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; No earnings  - Female - Number"
EST_HC7_VC9,"Estimate; Not Hispanic or Latino, one race - Asian alone; No earnings  - Female - Number"
EST_HC8_VC9,"Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; No earnings  - Female - Number"
EST_HC9_VC9,"Estimate; Not Hispanic or Latino, two or more races - White and Black; No earnings  - Female - Number"
EST_HC10_VC9,"Estimate; Not Hispanic or Latino, two or more races - White and AIAN; No earnings  - Female - Number"
EST_HC11_VC9,"Estimate; Not Hispanic or Latino, two or more races - White and Asian; No earnings  - Female - Number"
EST_HC12_VC9,"Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; No earnings  - Female - Number"
EST_HC13_VC9,"Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); No earnings  - Female - Number"
EST_HC14_VC9,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); No earnings  - Female - Number"
EST_HC15_VC9,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); No earnings  - Female - Number"
EST_HC16_VC9,Estimate; Balance of not Hispanic or Latino; No earnings  - Female - Number
EST_HC1_VC10,"Estimate; Total, race and ethnicity; No earnings  - Female - Percent"
EST_HC2_VC10,Estimate; Hispanic or Latino - White alone Hispanic or Latino; No earnings  - Female - Percent
EST_HC3_VC10,Estimate; Hispanic or Latino - All other Hispanic or Latino; No earnings  - Female - Percent
EST_HC4_VC10,"Estimate; Not Hispanic or Latino, one race - White alone; No earnings  - Female - Percent"
EST_HC5_VC10,"Estimate; Not Hispanic or Latino, one race - Black or African American alone; No earnings  - Female - Percent"
EST_HC6_VC10,"Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; No earnings  - Female - Percent"
EST_HC7_VC10,"Estimate; Not Hispanic or Latino, one race - Asian alone; No earnings  - Female - Percent"
EST_HC8_VC10,"Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; No earnings  - Female - Percent"
EST_HC9_VC10,"Estimate; Not Hispanic or Latino, two or more races - White and Black; No earnings  - Female - Percent"
EST_HC10_VC10,"Estimate; Not Hispanic or Latino, two or more races - White and AIAN; No earnings  - Female - Percent"
EST_HC11_VC10,"Estimate; Not Hispanic or Latino, two or more races - White and Asian; No earnings  - Female - Percent"
EST_HC12_VC10,"Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; No earnings  - Female - Percent"
EST_HC13_VC10,"Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); No earnings  - Female - Percent"
EST_HC14_VC10,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); No earnings  - Female - Percent"
EST_HC15_VC10,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); No earnings  - Female - Percent"
EST_HC16_VC10,Estimate; Balance of not Hispanic or Latino; No earnings  - Female - Percent
EST_HC1_VC13,"Estimate; Total, race and ethnicity; $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC2_VC13,"Estimate; Hispanic or Latino - White alone Hispanic or Latino; $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC3_VC13,"Estimate; Hispanic or Latino - All other Hispanic or Latino; $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC4_VC13,"Estimate; Not Hispanic or Latino, one race - White alone; $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC5_VC13,"Estimate; Not Hispanic or Latino, one race - Black or African American alone; $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC6_VC13,"Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC7_VC13,"Estimate; Not Hispanic or Latino, one race - Asian alone; $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC8_VC13,"Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC9_VC13,"Estimate; Not Hispanic or Latino, two or more races - White and Black; $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC10_VC13,"Estimate; Not Hispanic or Latino, two or more races - White and AIAN; $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC11_VC13,"Estimate; Not Hispanic or Latino, two or more races - White and Asian; $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC12_VC13,"Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC13_VC13,"Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC14_VC13,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC15_VC13,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC16_VC13,"Estimate; Balance of not Hispanic or Latino; $1 to $14,999 or loss  - Total, both sexes - Number"
EST_HC1_VC14,"Estimate; Total, race and ethnicity; $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC2_VC14,"Estimate; Hispanic or Latino - White alone Hispanic or Latino; $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC3_VC14,"Estimate; Hispanic or Latino - All other Hispanic or Latino; $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC4_VC14,"Estimate; Not Hispanic or Latino, one race - White alone; $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC5_VC14,"Estimate; Not Hispanic or Latino, one race - Black or African American alone; $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC6_VC14,"Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC7_VC14,"Estimate; Not Hispanic or Latino, one race - Asian alone; $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC8_VC14,"Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC9_VC14,"Estimate; Not Hispanic or Latino, two or more races - White and Black; $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC10_VC14,"Estimate; Not Hispanic or Latino, two or more races - White and AIAN; $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC11_VC14,"Estimate; Not Hispanic or Latino, two or more races - White and Asian; $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC12_VC14,"Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC13_VC14,"Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC14_VC14,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC15_VC14,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC16_VC14,"Estimate; Balance of not Hispanic or Latino; $1 to $14,999 or loss  - Total, both sexes - Percent"
EST_HC1_VC16,"Estimate; Total, race and ethnicity; $1 to $14,999 or loss  - Male - Number"
EST_HC2_VC16,"Estimate; Hispanic or Latino - White alone Hispanic or Latino; $1 to $14,999 or loss  - Male - Number"
EST_HC3_VC16,"Estimate; Hispanic or Latino - All other Hispanic or Latino; $1 to $14,999 or loss  - Male - Number"
EST_HC4_VC16,"Estimate; Not Hispanic or Latino, one race - White alone; $1 to $14,999 or loss  - Male - Number"
EST_HC5_VC16,"Estimate; Not Hispanic or Latino, one race - Black or African American alone; $1 to $14,999 or loss  - Male - Number"
EST_HC6_VC16,"Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; $1 to $14,999 or loss  - Male - Number"
EST_HC7_VC16,"Estimate; Not Hispanic or Latino, one race - Asian alone; $1 to $14,999 or loss  - Male - Number"
EST_HC8_VC16,"Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; $1 to $14,999 or loss  - Male - Number"
EST_HC9_VC16,"Estimate; Not Hispanic or Latino, two or more races - White and Black; $1 to $14,999 or loss  - Male - Number"
EST_HC10_VC16,"Estimate; Not Hispanic or Latino, two or more races - White and AIAN; $1 to $14,999 or loss  - Male - Number"
EST_HC11_VC16,"Estimate; Not Hispanic or Latino, two or more races - White and Asian; $1 to $14,999 or loss  - Male - Number"
EST_HC12_VC16,"Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; $1 to $14,999 or loss  - Male - Number"
EST_HC13_VC16,"Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); $1 to $14,999 or loss  - Male - Number"
EST_HC14_VC16,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); $1 to $14,999 or loss  - Male - Number"
EST_HC15_VC16,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); $1 to $14,999 or loss  - Male - Number"
EST_HC16_VC16,"Estimate; Balance of not Hispanic or Latino; $1 to $14,999 or loss  - Male - Number"
EST_HC1_VC17,"Estimate; Total, race and ethnicity; $1 to $14,999 or loss  - Male - Percent"
EST_HC2_VC17,"Estimate; Hispanic or Latino - White alone Hispanic or Latino; $1 to $14,999 or loss  - Male - Percent"
EST_HC3_VC17,"Estimate; Hispanic or Latino - All other Hispanic or Latino; $1 to $14,999 or loss  - Male - Percent"
EST_HC4_VC17,"Estimate; Not Hispanic or Latino, one race - White alone; $1 to $14,999 or loss  - Male - Percent"
EST_HC5_VC17,"Estimate; Not Hispanic or Latino, one race - Black or African American alone; $1 to $14,999 or loss  - Male - Percent"
EST_HC6_VC17,"Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; $1 to $14,999 or loss  - Male - Percent"
EST_HC7_VC17,"Estimate; Not Hispanic or Latino, one race - Asian alone; $1 to $14,999 or loss  - Male - Percent"
EST_HC8_VC17,"Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; $1 to $14,999 or loss  - Male - Percent"
EST_HC9_VC17,"Estimate; Not Hispanic or Latino, two or more races - White and Black; $1 to $14,999 or loss  - Male - Percent"
EST_HC10_VC17,"Estimate; Not Hispanic or Latino, two or more races - White and AIAN; $1 to $14,999 or loss  - Male - Percent"
EST_HC11_VC17,"Estimate; Not Hispanic or Latino, two or more races - White and Asian; $1 to $14,999 or loss  - Male - Percent"
EST_HC12_VC17,"Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; $1 to $14,999 or loss  - Male - Percent"
EST_HC13_VC17,"Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); $1 to $14,999 or loss  - Male - Percent"
EST_HC14_VC17,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); $1 to $14,999 or loss  - Male - Percent"
EST_HC15_VC17,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); $1 to $14,999 or loss  - Male - Percent"
EST_HC16_VC17,"Estimate; Balance of not Hispanic or Latino; $1 to $14,999 or loss  - Male - Percent"
EST_HC1_VC19,"Estimate; Total, race and ethnicity; $1 to $14,999 or loss  - Female - Number"
EST_HC2_VC19,"Estimate; Hispanic or Latino - White alone Hispanic or Latino; $1 to $14,999 or loss  - Female - Number"
EST_HC3_VC19,"Estimate; Hispanic or Latino - All other Hispanic or Latino; $1 to $14,999 or loss  - Female - Number"
EST_HC4_VC19,"Estimate; Not Hispanic or Latino, one race - White alone; $1 to $14,999 or loss  - Female - Number"
EST_HC5_VC19,"Estimate; Not Hispanic or Latino, one race - Black or African American alone; $1 to $14,999 or loss  - Female - Number"
EST_HC6_VC19,"Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; $1 to $14,999 or loss  - Female - Number"
EST_HC7_VC19,"Estimate; Not Hispanic or Latino, one race - Asian alone; $1 to $14,999 or loss  - Female - Number"
EST_HC8_VC19,"Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; $1 to $14,999 or loss  - Female - Number"
EST_HC9_VC19,"Estimate; Not Hispanic or Latino, two or more races - White and Black; $1 to $14,999 or loss  - Female - Number"
EST_HC10_VC19,"Estimate; Not Hispanic or Latino, two or more races - White and AIAN; $1 to $14,999 or loss  - Female - Number"
EST_HC11_VC19,"Estimate; Not Hispanic or Latino, two or more races - White and Asian; $1 to $14,999 or loss  - Female - Number"
EST_HC12_VC19,"Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; $1 to $14,999 or loss  - Female - Number"
EST_HC13_VC19,"Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); $1 to $14,999 or loss  - Female - Number"
EST_HC14_VC19,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); $1 to $14,999 or loss  - Female - Number"
EST_HC15_VC19,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); $1 to $14,999 or loss  - Female - Number"
EST_HC16_VC19,"Estimate; Balance of not Hispanic or Latino; $1 to $14,999 or loss  - Female - Number"
EST_HC1_VC20,"Estimate; Total, race and ethnicity; $1 to $14,999 or loss  - Female - Percent"
EST_HC2_VC20,"Estimate; Hispanic or Latino - White alone Hispanic or Latino; $1 to $14,999 or loss  - Female - Percent"
EST_HC3_VC20,"Estimate; Hispanic or Latino - All other Hispanic or Latino; $1 to $14,999 or loss  - Female - Percent"
EST_HC4_VC20,"Estimate; Not Hispanic or Latino, one race - White alone; $1 to $14,999 or loss  - Female - Percent"
EST_HC5_VC20,"Estimate; Not Hispanic or Latino, one race - Black or African American alone; $1 to $14,999 or loss  - Female - Percent"
EST_HC6_VC20,"Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; $1 to $14,999 or loss  - Female - Percent"
EST_HC7_VC20,"Estimate; Not Hispanic or Latino, one race - Asian alone; $1 to $14,999 or loss  - Female - Percent"
EST_HC8_VC20,"Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; $1 to $14,999 or loss  - Female - Percent"
EST_HC9_VC20,"Estimate; Not Hispanic or Latino, two or more races - White and Black; $1 to $14,999 or loss  - Female - Percent"
EST_HC10_VC20,"Estimate; Not Hispanic or Latino, two or more races - White and AIAN; $1 to $14,999 or loss  - Female - Percent"
EST_HC11_VC20,"Estimate; Not Hispanic or Latino, two or more races - White and Asian; $1 to $14,999 or loss  - Female - Percent"
EST_HC12_VC20,"Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; $1 to $14,999 or loss  - Female - Percent"
EST_HC13_VC20,"Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); $1 to $14,999 or loss  - Female - Percent"
EST_HC14_VC20,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); $1 to $14,999 or loss  - Female - Percent"
EST_HC15_VC20,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); $1 to $14,999 or loss  - Female - Percent"
EST_HC16_VC20,"Estimate; Balance of not Hispanic or Latino; $1 to $14,999 or loss  - Female - Percent"
EST_HC1_VC23,"Estimate; Total, race and ethnicity; $15,000 to $24,999  - Total, both sexes - Number"
EST_HC2_VC23,"Estimate; Hispanic or Latino - White alone Hispanic or Latino; $15,000 to $24,999  - Total, both sexes - Number"
EST_HC3_VC23,"Estimate; Hispanic or Latino - All other Hispanic or Latino; $15,000 to $24,999  - Total, both sexes - Number"
EST_HC4_VC23,"Estimate; Not Hispanic or Latino, one race - White alone; $15,000 to $24,999  - Total, both sexes - Number"
EST_HC5_VC23,"Estimate; Not Hispanic or Latino, one race - Black or African American alone; $15,000 to $24,999  - Total, both sexes - Number"
EST_HC6_VC23,"Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; $15,000 to $24,999  - Total, both sexes - Number"
EST_HC7_VC23,"Estimate; Not Hispanic or Latino, one race - Asian alone; $15,000 to $24,999  - Total, both sexes - Number"
EST_HC8_VC23,"Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; $15,000 to $24,999  - Total, both sexes - Number"
EST_HC9_VC23,"Estimate; Not Hispanic or Latino, two or more races - White and Black; $15,000 to $24,999  - Total, both sexes - Number"
EST_HC10_VC23,"Estimate; Not Hispanic or Latino, two or more races - White and AIAN; $15,000 to $24,999  - Total, both sexes - Number"
EST_HC11_VC23,"Estimate; Not Hispanic or Latino, two or more races - White and Asian; $15,000 to $24,999  - Total, both sexes - Number"
EST_HC12_VC23,"Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; $15,000 to $24,999  - Total, both sexes - Number"
EST_HC13_VC23,"Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); $15,000 to $24,999  - Total, both sexes - Number"
EST_HC14_VC23,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); $15,000 to $24,999  - Total, both sexes - Number"
EST_HC15_VC23,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); $15,000 to $24,999  - Total, both sexes - Number"
EST_HC16_VC23,"Estimate; Balance of not Hispanic or Latino; $15,000 to $24,999  - Total, both sexes - Number"
EST_HC1_VC24,"Estimate; Total, race and ethnicity; $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC2_VC24,"Estimate; Hispanic or Latino - White alone Hispanic or Latino; $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC3_VC24,"Estimate; Hispanic or Latino - All other Hispanic or Latino; $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC4_VC24,"Estimate; Not Hispanic or Latino, one race - White alone; $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC5_VC24,"Estimate; Not Hispanic or Latino, one race - Black or African American alone; $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC6_VC24,"Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC7_VC24,"Estimate; Not Hispanic or Latino, one race - Asian alone; $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC8_VC24,"Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC9_VC24,"Estimate; Not Hispanic or Latino, two or more races - White and Black; $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC10_VC24,"Estimate; Not Hispanic or Latino, two or more races - White and AIAN; $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC11_VC24,"Estimate; Not Hispanic or Latino, two or more races - White and Asian; $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC12_VC24,"Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC13_VC24,"Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC14_VC24,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC15_VC24,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC16_VC24,"Estimate; Balance of not Hispanic or Latino; $15,000 to $24,999  - Total, both sexes - Percent"
EST_HC1_VC26,"Estimate; Total, race and ethnicity; $15,000 to $24,999  - Male - Number"
EST_HC2_VC26,"Estimate; Hispanic or Latino - White alone Hispanic or Latino; $15,000 to $24,999  - Male - Number"
EST_HC3_VC26,"Estimate; Hispanic or Latino - All other Hispanic or Latino; $15,000 to $24,999  - Male - Number"
