CSB,OBJECTID,Planning District,Established,Region Name,HPR,PPR,URL,CSB Type,Budget Type,Population (2015),Area,Density,UR
Horizon Behavioral Health,25,11,10/31/72,Northwestern Virginia ,HPR 1,PPR 1,http://www.cvcsb.org/,Operating,Large Budget Rural,"259,487 ","2,124.5 ",122 ,Rural
Loudon County,37,8,5/20/69,Northern Virginia,HPR 2,PPR 2,http://www.loudoun.gov/,Administrative Policy,Large Budget Urban,"361,708 ",519.9 ,696 ,Urban
Middle Peninsula-Northern Neck,31,17,2/28/74,Eastern Virginia,HPR 5,PPR 5,http://www.mpnncsb.org/,Operating,Medium Budget Rural,"142,457 ","2,028.3 ",70 ,Rural
Mount Rogers,5,3,9/21/72,Southwestern Virginia,HPR 3,PPR 3,http://www.mtrogerscsb.com/,Operating,Large Budget Rural,"121,366 ","2,201.4 ",55 ,Rural
New River Valley,6,4,7/1/69,Southwestern Virginia,HPR 3,PPR 3,http://www.nrvcs.org/,Operating,Large Budget Rural,"182,757 ","1,458.0 ",125 ,Rural
Norfolk,16,20,3/9/69,Eastern Virginia,HPR 5,PPR 5,http://www.norfolk.gov/Index.aspx?NID=996,Administrative Policy,Large Budget Urban,"246,394 ",53.8 ,"4,580 ",Urban
Northwestern,38,7,6/25/74,Northwestern Virginia ,HPR 1,PPR 1,http://www.nwcsb.com/,Operating,Small Budget Rural,"229,395 ","1,637.5 ",140 ,Rural
Piedmont,7,1,10/16/72,Southern Region,HPR 3,PPR 6,http://www.piedmontcsb.org/,Operating,Medium Budget Rural,"142,525 ","1,568.7 ",91 ,Rural
Planning District One,1,1,7/28/72,Southwestern Virginia,HPR 3,PPR 3,http://www.pd1bhs.org/,Operating,Small Budget Rural,"93,195 ","1,384.5 ",67 ,Rural
Portsmouth,15,20,4/22/69,Eastern Virginia,HPR 5,PPR 5,http://www.portsmouthva.gov/149/Behavioral-Healthcare,Administrative Policy,Small Budget Urban,"96,802 ",33.1 ,"2,925 ",Urban
Prince William,33,8,11/21/68,Northern Virginia,HPR 2,PPR 2,http://www.pwcgov.org/csb,Administrative Policy,Large Budget Urban,"494,893 ",350.2 ,"1,413 ",Urban
Rappahannock-Rapidan,32,16,6/9/70,Northwestern Virginia ,HPR 1,PPR 1,http://www.racsb.state.va.us/,Operating,Medium Budget Urban,"347,246 ","1,394.0 ",249 ,Urban
Rappahannock Area,30,9,10/30/72,Northwestern Virginia ,HPR 1,PPR 1,http://www.rrcsb.org/,Operating,Small Budget Rural,"171,341 ","1,961.3 ",87 ,Rural
Region Ten,29,10,2/3/69,Northwestern Virginia ,HPR 1,PPR 1,http://www.regionten.org/,Operating,Large Budget Rural,"246,469 ","2,147.0 ",115 ,Rural
Richmond,40,15,4/28/69,Central Virginia,HPR 4,PPR 4,http://www.rbha.org/,Operating,Large Budget Urban,"213,504 ",60.1 ,"3,552 ",Urban
Rockbridge Area,27,6,10/14/82,Northwestern Virginia ,HPR 1,PPR 1,http://www.racsb.org/,Operating,Small Budget Rural,"41,357 ","1,140.9 ",36 ,Rural
Southside,10,13,9/13/72,Southern Region,HPR 3,PPR 6,http://www.sscsb.org/,Operating,Small Budget Rural,"85,465 ","2,009.5 ",43 ,Rural
Valley,28,6,6/15/71,Northwestern Virginia ,HPR 1,PPR 1,http://www.vcsb.org/,Operating,Medium Budget Rural,"123,247 ","1,421.4 ",87 ,Rural
Virginia Beach,14,20,6/20/69,Eastern Virginia,HPR 5,PPR 5,http://www.vbgov.com/hs,Administrative Policy,Large Budget Urban,"451,672 ",248.3 ,"1,819 ",Urban
Western Tidewater,12,20,12/1/71,Eastern Virginia,HPR 5,PPR 5,http://www.wtcsb.org/,Operating,Medium Budget Rural,"153,101 ","1,324.0 ",116 ,Rural
