,Year,County,Drug,DeathByYear,Rate,GEOID
63,2007,Isle of Wight County,Benzodiazepine,0,0,51093
64,2007,James City County,Benzodiazepine,0,0,51095
65,2007,King and Queen County,Benzodiazepine,0,0,51097
66,2007,King George County,Benzodiazepine,0,0,51099
67,2007,King William County,Benzodiazepine,0,0,51101
68,2007,Lancaster County,Benzodiazepine,0,0,51103
69,2007,Lee County,Benzodiazepine,1,4.3,51105
70,2007,Lexington City,Benzodiazepine,0,0,51678
71,2007,Loudoun County,Benzodiazepine,3,1.1,51107
72,2007,Louisa County,Benzodiazepine,0,0,51109
73,2007,Lunenburg County,Benzodiazepine,0,0,51111
74,2007,Lynchburg City,Benzodiazepine,1,1.4,51680
75,2007,Madison County,Benzodiazepine,1,7.3,51113
76,2007,Manassas City,Benzodiazepine,1,2.8,51683
77,2007,Manassas Park City,Benzodiazepine,1,8.8,51685
78,2007,Martinsville City,Benzodiazepine,0,0,51690
79,2007,Mathews County,Benzodiazepine,0,0,51115
80,2007,Mecklenburg County,Benzodiazepine,0,0,51117
81,2007,Middlesex County,Benzodiazepine,0,0,51119
82,2007,Montgomery County,Benzodiazepine,1,1.1,51121
83,2007,Nelson County,Benzodiazepine,0,0,51125
84,2007,New Kent County,Benzodiazepine,0,0,51127
85,2007,Newport News City,Benzodiazepine,1,0.6,51700
86,2007,Norfolk City,Benzodiazepine,9,3.8,51710
87,2007,Northampton County,Benzodiazepine,0,0,51131
88,2007,Northumberland County,Benzodiazepine,0,0,51133
89,2007,Norton City,Benzodiazepine,0,0,51720
90,2007,Nottoway County,Benzodiazepine,0,0,51135
91,2007,Orange County,Benzodiazepine,1,3.1,51137
92,2007,Page County,Benzodiazepine,1,4.1,51139
93,2007,Patrick County,Benzodiazepine,1,5.3,51141
94,2007,Petersburg City,Benzodiazepine,0,0,51730
95,2007,Pittsylvania County,Benzodiazepine,0,0,51143
96,2007,Poquoson City,Benzodiazepine,0,0,51735
97,2007,Portsmouth City,Benzodiazepine,0,0,51740
98,2007,Powhatan County,Benzodiazepine,0,0,51145
99,2007,Prince Edward County,Benzodiazepine,0,0,51147
100,2007,Prince George County,Benzodiazepine,1,2.8,51149
101,2007,Prince William County,Benzodiazepine,6,1.7,51153
102,2007,Pulaski County,Benzodiazepine,8,22.8,51155
103,2007,Radford City,Benzodiazepine,1,6.2,51750
104,2007,Rappahannock County,Benzodiazepine,0,0,51157
105,2007,Richmond City,Benzodiazepine,3,1.5,51760
106,2007,Richmond County,Benzodiazepine,0,0,51760
107,2007,Roanoke City,Benzodiazepine,2,2.2,51770
108,2007,Roanoke County,Benzodiazepine,1,1.1,51770
109,2007,Rockbridge County,Benzodiazepine,0,0,51163
110,2007,Rockingham County,Benzodiazepine,0,0,51165
111,2007,Russell County,Benzodiazepine,5,17.3,51167
112,2007,Salem City,Benzodiazepine,0,0,51775
113,2007,Scott County,Benzodiazepine,1,4.4,51169
114,2007,Shenandoah County,Benzodiazepine,0,0,51171
115,2007,Smyth County,Benzodiazepine,1,3.1,51173
116,2007,Southampton County,Benzodiazepine,0,0,51175
117,2007,Spotsylvania County,Benzodiazepine,1,0.8,51177
118,2007,Stafford County,Benzodiazepine,1,0.8,51179
119,2007,Staunton City,Benzodiazepine,0,0,51790
120,2007,Suffolk City,Benzodiazepine,1,1.2,51800
121,2007,Surry County,Benzodiazepine,1,14.1,51181
122,2007,Sussex County,Benzodiazepine,0,0,51183
123,2007,Tazewell County,Benzodiazepine,4,9.1,51185
124,2007,Virginia Beach City,Benzodiazepine,9,2.1,51810
125,2007,Warren County,Benzodiazepine,1,2.8,51187
126,2007,Washington County,Benzodiazepine,2,3.8,51191
127,2007,Waynesboro City,Benzodiazepine,1,4.6,51820
128,2007,Westmoreland County,Benzodiazepine,0,0,51193
129,2007,Williamsburg City,Benzodiazepine,0,0,51830
130,2007,Winchester City,Benzodiazepine,0,0,51840
131,2007,Wise County,Benzodiazepine,17,40.8,51195
132,2007,Wythe County,Benzodiazepine,2,7,51197
133,2007,York County,Benzodiazepine,1,1.6,51199
134,2008,Accomack County,Benzodiazepine,0,0,51001
135,2008,Albemarle County,Benzodiazepine,0,0,51003
136,2008,Alexandria City,Benzodiazepine,3,2.1,51510
137,2008,Alleghany County,Benzodiazepine,0,0,51005
138,2008,Amelia County,Benzodiazepine,0,0,51007
139,2008,Amherst County,Benzodiazepine,0,0,51009
140,2008,Appomattox County,Benzodiazepine,0,0,51011
141,2008,Arlington County,Benzodiazepine,1,0.5,51013
142,2008,Augusta County,Benzodiazepine,1,1.4,51015
143,2008,Bath County,Benzodiazepine,0,0,51017
144,2008,Bedford City,Benzodiazepine,0,0,51019
145,2008,Bedford County,Benzodiazepine,1,1.5,51019
146,2008,Bland County,Benzodiazepine,1,14.5,51021
147,2008,Botetourt County,Benzodiazepine,0,0,51023
148,2008,Bristol City,Benzodiazepine,0,0,51520
149,2008,Brunswick County,Benzodiazepine,0,0,51025
150,2008,Buchanan County,Benzodiazepine,5,21.3,51027
151,2008,Buckingham County,Benzodiazepine,0,0,51029
152,2008,Buena Vista City,Benzodiazepine,0,0,51530
153,2008,Campbell County,Benzodiazepine,1,1.9,51031
154,2008,Caroline County,Benzodiazepine,0,0,51033
155,2008,Carroll County,Benzodiazepine,2,6.9,51035
156,2008,Charles City County,Benzodiazepine,1,13.9,51036
157,2008,Charlotte County,Benzodiazepine,0,0,51037
158,2008,Charlottesville City,Benzodiazepine,0,0,51540
159,2008,Chesapeake City,Benzodiazepine,2,0.9,51550
160,2008,Chesterfield County,Benzodiazepine,2,0.7,51041
161,2008,Clarke County,Benzodiazepine,0,0,51043
162,2008,Colonial Heights City,Benzodiazepine,0,0,51570
163,2008,Covington City,Benzodiazepine,0,0,51580
164,2008,Craig County,Benzodiazepine,1,19.7,51045
165,2008,Culpeper County,Benzodiazepine,0,0,51047
166,2008,Cumberland County,Benzodiazepine,0,0,51049
167,2008,Danville City,Benzodiazepine,2,4.5,51590
168,2008,Dickenson County,Benzodiazepine,3,18.3,51051
169,2008,Dinwiddie County,Benzodiazepine,1,3.8,51053
170,2008,Emporia City,Benzodiazepine,1,17.7,51595
171,2008,Essex County,Benzodiazepine,0,0,51057
172,2008,Fairfax City,Benzodiazepine,1,4.2,51600
173,2008,Fairfax County,Benzodiazepine,9,0.9,51059
174,2008,Falls Church City,Benzodiazepine,0,0,51610
175,2008,Fauquier County,Benzodiazepine,0,0,51061
176,2008,Floyd County,Benzodiazepine,1,6.7,51063
177,2008,Fluvanna County,Benzodiazepine,0,0,51065
178,2008,Franklin City,Benzodiazepine,0,0,51620
179,2008,Franklin County,Benzodiazepine,2,3.9,51620
180,2008,Frederick County,Benzodiazepine,2,2.7,51069
181,2008,Fredericksburg City,Benzodiazepine,0,0,51630
182,2008,Galax City,Benzodiazepine,0,0,51640
183,2008,Giles County,Benzodiazepine,2,11.6,51071
184,2008,Gloucester County,Benzodiazepine,0,0,51073
185,2008,Goochland County,Benzodiazepine,0,0,51075
186,2008,Grayson County,Benzodiazepine,0,0,51077
187,2008,Greene County,Benzodiazepine,0,0,51079
188,2008,Greensville County,Benzodiazepine,0,0,51081
189,2008,Halifax County,Benzodiazepine,0,0,51083
190,2008,Hampton City,Benzodiazepine,1,0.7,51650
191,2008,Hanover County,Benzodiazepine,1,1,51085
192,2008,Harrisonburg City,Benzodiazepine,0,0,51660
193,2008,Henrico County,Benzodiazepine,5,1.7,51087
194,2008,Henry County,Benzodiazepine,10,18.1,51089
195,2008,Highland County,Benzodiazepine,0,0,51091
196,2008,Hopewell City,Benzodiazepine,0,0,51670
197,2008,Isle of Wight County,Benzodiazepine,0,0,51093
198,2008,James City County,Benzodiazepine,2,3.2,51095
199,2008,King and Queen County,Benzodiazepine,1,14.6,51097
200,2008,King George County,Benzodiazepine,0,0,51099
201,2008,King William County,Benzodiazepine,0,0,51101
202,2008,Lancaster County,Benzodiazepine,0,0,51103
203,2008,Lee County,Benzodiazepine,2,8.5,51105
204,2008,Lexington City,Benzodiazepine,0,0,51678
205,2008,Loudoun County,Benzodiazepine,4,1.4,51107
206,2008,Louisa County,Benzodiazepine,0,0,51109
207,2008,Lunenburg County,Benzodiazepine,0,0,51111
208,2008,Lynchburg City,Benzodiazepine,1,1.4,51680
209,2008,Madison County,Benzodiazepine,1,7.3,51113
210,2008,Manassas City,Benzodiazepine,2,5.7,51683
211,2008,Manassas Park City,Benzodiazepine,0,0,51685
212,2008,Martinsville City,Benzodiazepine,1,6.9,51690
213,2008,Mathews County,Benzodiazepine,0,0,51115
214,2008,Mecklenburg County,Benzodiazepine,1,3.1,51117
215,2008,Middlesex County,Benzodiazepine,0,0,51119
216,2008,Montgomery County,Benzodiazepine,6,6.7,51121
217,2008,Nelson County,Benzodiazepine,0,0,51125
218,2008,New Kent County,Benzodiazepine,0,0,51127
219,2008,Newport News City,Benzodiazepine,3,1.7,51700
220,2008,Norfolk City,Benzodiazepine,2,0.9,51710
221,2008,Northampton County,Benzodiazepine,0,0,51131
222,2008,Northumberland County,Benzodiazepine,0,0,51133
223,2008,Norton City,Benzodiazepine,0,0,51720
224,2008,Nottoway County,Benzodiazepine,0,0,51135
225,2008,Orange County,Benzodiazepine,0,0,51137
226,2008,Page County,Benzodiazepine,0,0,51139
227,2008,Patrick County,Benzodiazepine,0,0,51141
228,2008,Petersburg City,Benzodiazepine,0,0,51730
229,2008,Pittsylvania County,Benzodiazepine,4,6.5,51143
230,2008,Poquoson City,Benzodiazepine,1,8.5,51735
231,2008,Portsmouth City,Benzodiazepine,0,0,51740
232,2008,Powhatan County,Benzodiazepine,0,0,51145
233,2008,Prince Edward County,Benzodiazepine,0,0,51147
234,2008,Prince George County,Benzodiazepine,1,2.8,51149
235,2008,Prince William County,Benzodiazepine,3,0.8,51153
236,2008,Pulaski County,Benzodiazepine,8,22.9,51155
237,2008,Radford City,Benzodiazepine,0,0,51750
238,2008,Rappahannock County,Benzodiazepine,0,0,51157
239,2008,Richmond City,Benzodiazepine,0,0,51760
240,2008,Richmond County,Benzodiazepine,0,0,51760
241,2008,Roanoke City,Benzodiazepine,6,6.5,51770
242,2008,Roanoke County,Benzodiazepine,3,3.3,51770
243,2008,Rockbridge County,Benzodiazepine,1,4.6,51163
244,2008,Rockingham County,Benzodiazepine,1,1.3,51165
245,2008,Russell County,Benzodiazepine,2,6.9,51167
246,2008,Salem City,Benzodiazepine,2,7.9,51775
247,2008,Scott County,Benzodiazepine,2,8.8,51169
248,2008,Shenandoah County,Benzodiazepine,1,2.5,51171
249,2008,Smyth County,Benzodiazepine,1,3.1,51173
250,2008,Southampton County,Benzodiazepine,1,5.4,51175
251,2008,Spotsylvania County,Benzodiazepine,1,0.8,51177
252,2008,Stafford County,Benzodiazepine,0,0,51179
253,2008,Staunton City,Benzodiazepine,0,0,51790
254,2008,Suffolk City,Benzodiazepine,0,0,51800
255,2008,Surry County,Benzodiazepine,0,0,51181
256,2008,Sussex County,Benzodiazepine,0,0,51183
257,2008,Tazewell County,Benzodiazepine,3,6.9,51185
258,2008,Virginia Beach City,Benzodiazepine,11,2.5,51810
259,2008,Warren County,Benzodiazepine,1,2.7,51187
260,2008,Washington County,Benzodiazepine,1,1.9,51191
261,2008,Waynesboro City,Benzodiazepine,0,0,51820
262,2008,Westmoreland County,Benzodiazepine,0,0,51193
263,2008,Williamsburg City,Benzodiazepine,0,0,51830
264,2008,Winchester City,Benzodiazepine,0,0,51840
265,2008,Wise County,Benzodiazepine,5,12,51195
266,2008,Wythe County,Benzodiazepine,4,13.9,51197
267,2008,York County,Benzodiazepine,1,1.6,51199
268,2009,Accomack County,Benzodiazepine,1,2.6,51001
269,2009,Albemarle County,Benzodiazepine,1,1.1,51003
270,2009,Alexandria City,Benzodiazepine,3,2,51510
271,2009,Alleghany County,Benzodiazepine,0,0,51005
272,2009,Amelia County,Benzodiazepine,0,0,51007
273,2009,Amherst County,Benzodiazepine,0,0,51009
274,2009,Appomattox County,Benzodiazepine,0,0,51011
275,2009,Arlington County,Benzodiazepine,2,0.9,51013
276,2009,Augusta County,Benzodiazepine,3,4.2,51015
277,2009,Bath County,Benzodiazepine,0,0,51017
278,2009,Bedford City,Benzodiazepine,0,0,51019
279,2009,Bedford County,Benzodiazepine,0,0,51019
280,2009,Bland County,Benzodiazepine,1,14.7,51021
281,2009,Botetourt County,Benzodiazepine,1,3.1,51023
282,2009,Bristol City,Benzodiazepine,2,11.3,51520
283,2009,Brunswick County,Benzodiazepine,0,0,51025
284,2009,Buchanan County,Benzodiazepine,1,4.4,51027
285,2009,Buckingham County,Benzodiazepine,0,0,51029
286,2009,Buena Vista City,Benzodiazepine,0,0,51530
287,2009,Campbell County,Benzodiazepine,2,3.8,51031
288,2009,Caroline County,Benzodiazepine,0,0,51033
289,2009,Carroll County,Benzodiazepine,4,13.8,51035
290,2009,Charles City County,Benzodiazepine,0,0,51036
291,2009,Charlotte County,Benzodiazepine,1,8.3,51037
292,2009,Charlottesville City,Benzodiazepine,0,0,51540
293,2009,Chesapeake City,Benzodiazepine,8,3.6,51550
294,2009,Chesterfield County,Benzodiazepine,2,0.7,51041
295,2009,Clarke County,Benzodiazepine,0,0,51043
296,2009,Colonial Heights City,Benzodiazepine,0,0,51570
297,2009,Covington City,Benzodiazepine,0,0,51580
298,2009,Craig County,Benzodiazepine,0,0,51045
299,2009,Culpeper County,Benzodiazepine,0,0,51047
300,2009,Cumberland County,Benzodiazepine,0,0,51049
301,2009,Danville City,Benzodiazepine,1,2.3,51590
302,2009,Dickenson County,Benzodiazepine,2,12.4,51051
303,2009,Dinwiddie County,Benzodiazepine,0,0,51053
304,2009,Emporia City,Benzodiazepine,0,0,51595
305,2009,Essex County,Benzodiazepine,0,0,51057
306,2009,Fairfax City,Benzodiazepine,2,8.1,51600
307,2009,Fairfax County,Benzodiazepine,6,0.6,51059
308,2009,Falls Church City,Benzodiazepine,0,0,51610
309,2009,Fauquier County,Benzodiazepine,0,0,51061
310,2009,Floyd County,Benzodiazepine,1,6.7,51063
311,2009,Fluvanna County,Benzodiazepine,0,0,51065
312,2009,Franklin City,Benzodiazepine,0,0,51620
313,2009,Franklin County,Benzodiazepine,3,5.8,51620
314,2009,Frederick County,Benzodiazepine,1,1.3,51069
315,2009,Fredericksburg City,Benzodiazepine,0,0,51630
316,2009,Galax City,Benzodiazepine,0,0,51640
317,2009,Giles County,Benzodiazepine,2,11.5,51071
318,2009,Gloucester County,Benzodiazepine,0,0,51073
319,2009,Goochland County,Benzodiazepine,1,4.7,51075
320,2009,Grayson County,Benzodiazepine,0,0,51077
321,2009,Greene County,Benzodiazepine,0,0,51079
322,2009,Greensville County,Benzodiazepine,0,0,51081
323,2009,Halifax County,Benzodiazepine,0,0,51083
324,2009,Hampton City,Benzodiazepine,2,1.4,51650
325,2009,Hanover County,Benzodiazepine,1,1,51085
326,2009,Harrisonburg City,Benzodiazepine,1,2.2,51660
327,2009,Henrico County,Benzodiazepine,2,0.7,51087
328,2009,Henry County,Benzodiazepine,6,10.9,51089
329,2009,Highland County,Benzodiazepine,0,0,51091
330,2009,Hopewell City,Benzodiazepine,1,4.3,51670
331,2009,Isle of Wight County,Benzodiazepine,0,0,51093
332,2009,James City County,Benzodiazepine,0,0,51095
333,2009,King and Queen County,Benzodiazepine,0,0,51097
334,2009,King George County,Benzodiazepine,1,4.2,51099
335,2009,King William County,Benzodiazepine,1,6.2,51101
336,2009,Lancaster County,Benzodiazepine,0,0,51103
337,2009,Lee County,Benzodiazepine,1,4,51105
338,2009,Lexington City,Benzodiazepine,0,0,51678
339,2009,Loudoun County,Benzodiazepine,1,0.3,51107
340,2009,Louisa County,Benzodiazepine,0,0,51109
341,2009,Lunenburg County,Benzodiazepine,0,0,51111
342,2009,Lynchburg City,Benzodiazepine,0,0,51680
343,2009,Madison County,Benzodiazepine,0,0,51113
344,2009,Manassas City,Benzodiazepine,2,5.5,51683
345,2009,Manassas Park City,Benzodiazepine,0,0,51685
346,2009,Martinsville City,Benzodiazepine,1,6.8,51690
347,2009,Mathews County,Benzodiazepine,0,0,51115
348,2009,Mecklenburg County,Benzodiazepine,1,3.1,51117
349,2009,Middlesex County,Benzodiazepine,0,0,51119
350,2009,Montgomery County,Benzodiazepine,4,4.4,51121
351,2009,Nelson County,Benzodiazepine,0,0,51125
352,2009,New Kent County,Benzodiazepine,0,0,51127
353,2009,Newport News City,Benzodiazepine,9,4.7,51700
354,2009,Norfolk City,Benzodiazepine,3,1.3,51710
355,2009,Northampton County,Benzodiazepine,0,0,51131
356,2009,Northumberland County,Benzodiazepine,0,0,51133
357,2009,Norton City,Benzodiazepine,0,0,51720
358,2009,Nottoway County,Benzodiazepine,1,6.3,51135
359,2009,Orange County,Benzodiazepine,0,0,51137
360,2009,Page County,Benzodiazepine,0,0,51139
361,2009,Patrick County,Benzodiazepine,3,16.1,51141
362,2009,Petersburg City,Benzodiazepine,0,0,51730
363,2009,Pittsylvania County,Benzodiazepine,1,1.6,51143
364,2009,Poquoson City,Benzodiazepine,0,0,51735
365,2009,Portsmouth City,Benzodiazepine,2,2,51740
366,2009,Powhatan County,Benzodiazepine,0,0,51145
367,2009,Prince Edward County,Benzodiazepine,0,0,51147
368,2009,Prince George County,Benzodiazepine,1,2.7,51149
369,2009,Prince William County,Benzodiazepine,8,2.1,51153
370,2009,Pulaski County,Benzodiazepine,6,17.1,51155
371,2009,Radford City,Benzodiazepine,2,12.4,51750
372,2009,Rappahannock County,Benzodiazepine,0,0,51157
373,2009,Richmond City,Benzodiazepine,3,1.5,51760
374,2009,Richmond County,Benzodiazepine,0,0,51760
375,2009,Roanoke City,Benzodiazepine,2,2.1,51770
376,2009,Roanoke County,Benzodiazepine,1,1.1,51770
377,2009,Rockbridge County,Benzodiazepine,0,0,51163
378,2009,Rockingham County,Benzodiazepine,1,1.3,51165
379,2009,Russell County,Benzodiazepine,4,13.7,51167
380,2009,Salem City,Benzodiazepine,0,0,51775
381,2009,Scott County,Benzodiazepine,1,4.4,51169
382,2009,Shenandoah County,Benzodiazepine,1,2.4,51171
383,2009,Smyth County,Benzodiazepine,2,6.3,51173
384,2009,Southampton County,Benzodiazepine,0,0,51175
385,2009,Spotsylvania County,Benzodiazepine,0,0,51177
386,2009,Stafford County,Benzodiazepine,0,0,51179
387,2009,Staunton City,Benzodiazepine,0,0,51790
388,2009,Suffolk City,Benzodiazepine,1,1.2,51800
389,2009,Surry County,Benzodiazepine,0,0,51181
390,2009,Sussex County,Benzodiazepine,1,8.3,51183
391,2009,Tazewell County,Benzodiazepine,8,17.8,51185
392,2009,Virginia Beach City,Benzodiazepine,11,2.5,51810
393,2009,Warren County,Benzodiazepine,0,0,51187
394,2009,Washington County,Benzodiazepine,3,5.7,51191
395,2009,Waynesboro City,Benzodiazepine,1,4.5,51820
396,2009,Westmoreland County,Benzodiazepine,0,0,51193
397,2009,Williamsburg City,Benzodiazepine,0,0,51830
398,2009,Winchester City,Benzodiazepine,0,0,51840
399,2009,Wise County,Benzodiazepine,6,14.4,51195
400,2009,Wythe County,Benzodiazepine,2,6.9,51197
401,2009,York County,Benzodiazepine,0,0,51199
402,2010,Accomack County,Benzodiazepine,0,0,51001
403,2010,Albemarle County,Benzodiazepine,0,0,51003
404,2010,Alexandria City,Benzodiazepine,2,1.4,51510
405,2010,Alleghany County,Benzodiazepine,1,6.2,51005
406,2010,Amelia County,Benzodiazepine,1,7.9,51007
407,2010,Amherst County,Benzodiazepine,0,0,51009
408,2010,Appomattox County,Benzodiazepine,0,0,51011
409,2010,Arlington County,Benzodiazepine,2,1,51013
410,2010,Augusta County,Benzodiazepine,3,4.1,51015
411,2010,Bath County,Benzodiazepine,0,0,51017
412,2010,Bedford City,Benzodiazepine,0,0,51019
413,2010,Bedford County,Benzodiazepine,2,2.9,51019
414,2010,Bland County,Benzodiazepine,1,14.7,51021
415,2010,Botetourt County,Benzodiazepine,1,3,51023
416,2010,Bristol City,Benzodiazepine,0,0,51520
417,2010,Brunswick County,Benzodiazepine,1,5.7,51025
418,2010,Buchanan County,Benzodiazepine,6,24.9,51027
419,2010,Buckingham County,Benzodiazepine,0,0,51029
420,2010,Buena Vista City,Benzodiazepine,0,0,51530
421,2010,Campbell County,Benzodiazepine,1,1.8,51031
422,2010,Caroline County,Benzodiazepine,1,3.5,51033
423,2010,Carroll County,Benzodiazepine,0,0,51035
424,2010,Charles City County,Benzodiazepine,0,0,51036
425,2010,Charlotte County,Benzodiazepine,0,0,51037
426,2010,Charlottesville City,Benzodiazepine,2,4.6,51540
427,2010,Chesapeake City,Benzodiazepine,4,1.8,51550
428,2010,Chesterfield County,Benzodiazepine,3,0.9,51041
429,2010,Clarke County,Benzodiazepine,1,7.1,51043
430,2010,Colonial Heights City,Benzodiazepine,0,0,51570
431,2010,Covington City,Benzodiazepine,0,0,51580
432,2010,Craig County,Benzodiazepine,0,0,51045
433,2010,Culpeper County,Benzodiazepine,2,4.3,51047
434,2010,Cumberland County,Benzodiazepine,0,0,51049
435,2010,Danville City,Benzodiazepine,0,0,51590
436,2010,Dickenson County,Benzodiazepine,3,18.9,51051
437,2010,Dinwiddie County,Benzodiazepine,0,0,51053
438,2010,Emporia City,Benzodiazepine,0,0,51595
439,2010,Essex County,Benzodiazepine,0,0,51057
440,2010,Fairfax City,Benzodiazepine,1,4.4,51600
441,2010,Fairfax County,Benzodiazepine,12,1.1,51059
442,2010,Falls Church City,Benzodiazepine,0,0,51610
443,2010,Fauquier County,Benzodiazepine,4,6.1,51061
444,2010,Floyd County,Benzodiazepine,0,0,51063
445,2010,Fluvanna County,Benzodiazepine,0,0,51065
446,2010,Franklin City,Benzodiazepine,0,0,51620
447,2010,Franklin County,Benzodiazepine,1,1.8,51620
448,2010,Frederick County,Benzodiazepine,2,2.6,51069
449,2010,Fredericksburg City,Benzodiazepine,0,0,51630
450,2010,Galax City,Benzodiazepine,0,0,51640
451,2010,Giles County,Benzodiazepine,0,0,51071
452,2010,Gloucester County,Benzodiazepine,1,2.7,51073
453,2010,Goochland County,Benzodiazepine,1,4.6,51075
454,2010,Grayson County,Benzodiazepine,1,6.4,51077
455,2010,Greene County,Benzodiazepine,0,0,51079
456,2010,Greensville County,Benzodiazepine,1,8.2,51081
457,2010,Halifax County,Benzodiazepine,1,2.8,51083
458,2010,Hampton City,Benzodiazepine,6,4.4,51650
459,2010,Hanover County,Benzodiazepine,1,1,51085
460,2010,Harrisonburg City,Benzodiazepine,3,6.1,51660
461,2010,Henrico County,Benzodiazepine,0,0,51087
462,2010,Henry County,Benzodiazepine,4,7.4,51089
463,2010,Highland County,Benzodiazepine,0,0,51091
464,2010,Hopewell City,Benzodiazepine,0,0,51670
465,2010,Isle of Wight County,Benzodiazepine,0,0,51093
466,2010,James City County,Benzodiazepine,0,0,51095
467,2010,King and Queen County,Benzodiazepine,0,0,51097
468,2010,King George County,Benzodiazepine,0,0,51099
469,2010,King William County,Benzodiazepine,0,0,51101
470,2010,Lancaster County,Benzodiazepine,0,0,51103
471,2010,Lee County,Benzodiazepine,0,0,51105
472,2010,Lexington City,Benzodiazepine,0,0,51678
473,2010,Loudoun County,Benzodiazepine,1,0.3,51107
474,2010,Louisa County,Benzodiazepine,0,0,51109
475,2010,Lunenburg County,Benzodiazepine,0,0,51111
476,2010,Lynchburg City,Benzodiazepine,0,0,51680
477,2010,Madison County,Benzodiazepine,0,0,51113
478,2010,Manassas City,Benzodiazepine,0,0,51683
479,2010,Manassas Park City,Benzodiazepine,0,0,51685
480,2010,Martinsville City,Benzodiazepine,2,14.5,51690
481,2010,Mathews County,Benzodiazepine,0,0,51115
482,2010,Mecklenburg County,Benzodiazepine,0,0,51117
483,2010,Middlesex County,Benzodiazepine,0,0,51119
484,2010,Montgomery County,Benzodiazepine,1,1.1,51121
485,2010,Nelson County,Benzodiazepine,0,0,51125
486,2010,New Kent County,Benzodiazepine,0,0,51127
487,2010,Newport News City,Benzodiazepine,3,1.7,51700
488,2010,Norfolk City,Benzodiazepine,3,1.2,51710
489,2010,Northampton County,Benzodiazepine,0,0,51131
490,2010,Northumberland County,Benzodiazepine,0,0,51133
491,2010,Norton City,Benzodiazepine,1,25.3,51720
492,2010,Nottoway County,Benzodiazepine,0,0,51135
